sepal_length,sepal_width,petal_length,petal_width,class
5.045889,3.5631621,3.039625331,1.2865842,Iris-versicolor
6.670716,2.8880366,2.923874346,2.0054226,Iris-versicolor
4.564967,1.6160061,6.855884376,0.3979595,Iris-versicolor
3.656674,3.6662559,6.792354993,0.1775591,Iris-versicolor
5.304019,3.5941689,3.661294835,1.2038044,Iris-versicolor
8.656086,3.4935473,1.322211837,2.8698783,Iris-versicolor
5.370206,3.8446783,3.915901501,1.8216154,Iris-versicolor
5.632246,2.7628615,1.148068248,1.5438816,Iris-versicolor
4.364718,3.9687086,4.886024377,1.2973758,Iris-versicolor
7.659826,2.7818783,2.157563069,1.8523189,Iris-versicolor
7.684691,4.0650967,4.67766227,0.8309747,Iris-versicolor
5.915292,2.8523034,2.199794278,1.116433,Iris-versicolor
7.006995,1.8543653,2.628631454,1.403939,Iris-versicolor
8.117302,2.2536798,3.157035746,1.0403532,Iris-versicolor
5.19006,2.9115957,4.060323305,0.4609156,Iris-versicolor
5.427847,3.830334,4.678324636,0.9465344,Iris-versicolor
7.521125,3.1532963,0.376203563,2.0300552,Iris-versicolor
8.108767,3.031957,4.012862356,1.5388381,Iris-versicolor
7.86425,3.7803716,4.363560796,0.630479,Iris-versicolor
3.134784,3.1477666,6.420793034,0.6068718,Iris-versicolor
6.092963,2.6749112,6.023038006,0.3237762,Iris-versicolor
6.961596,3.228926,2.545887656,2.6075376,Iris-versicolor
3.353295,4.4855033,3.430611928,1.9469492,Iris-versicolor
6.619011,3.5654652,5.22619495,0.4401412,Iris-versicolor
7.509236,1.491664,5.136083698,0.037738,Iris-versicolor
5.218668,4.1935658,5.496357385,0.6994475,Iris-versicolor
8.675403,3.3017766,3.38024914,0.9769386,Iris-versicolor
6.446347,3.1296775,3.939860936,2.0817039,Iris-versicolor
7.685018,2.7430271,3.980175204,1.0670191,Iris-versicolor
5.81191,2.5785491,1.465363969,1.1758505,Iris-versicolor
7.50664,2.7402533,1.937419128,1.7993818,Iris-versicolor
6.070078,3.4902808,4.521399384,1.7241447,Iris-versicolor
6.780946,3.2663176,5.035840959,0.010331,Iris-versicolor
5.931958,3.2025612,5.326264207,0.5415077,Iris-versicolor
6.922355,3.2099631,6.538906414,0.0548007,Iris-versicolor
7.609435,2.4491679,2.963139046,0.9616147,Iris-versicolor
7.164275,3.953654,6.332894463,0.308732,Iris-versicolor
8.558311,2.5406987,5.37321429,0.2405549,Iris-versicolor
5.884407,3.0171391,7.188408025,0.5512566,Iris-versicolor
7.314803,3.7237859,3.348872668,1.8285026,Iris-versicolor
3.566897,2.1967938,0.889592189,1.5482129,Iris-versicolor
4.664198,3.6813228,0.721683318,2.7505722,Iris-versicolor
6.750227,4.5411478,7.789133762,0.4100648,Iris-versicolor
5.924996,2.6998725,1.652952097,1.2742474,Iris-versicolor
4.825346,2.8566233,3.489589365,0.7016055,Iris-versicolor
7.483963,2.8937923,3.651648408,0.9568778,Iris-versicolor
6.71493,2.6269564,4.49156171,0.8975478,Iris-versicolor
4.854864,3.2621977,5.142829387,0.8562888,Iris-versicolor
6.556036,3.0838018,1.917872316,2.6326531,Iris-versicolor
7.933673,1.7711511,3.588289879,1.868047,Iris-versicolor
5.428938,3.5104873,2.917168997,1.3117655,Iris-versicolor
4.655526,4.5437249,8.511040284,0.2978984,Iris-versicolor
7.578017,2.99605,2.045492797,1.6604195,Iris-versicolor
4.45204,4.0431276,1.646919431,2.7033081,Iris-versicolor
2.937337,2.9933926,5.990971332,0.5148588,Iris-versicolor
4.089777,3.2088302,5.846691198,1.201767,Iris-versicolor
3.601075,1.3094951,4.099207066,0.0005927,Iris-versicolor
8.405444,3.5998052,1.981903869,3.0519856,Iris-versicolor
5.745566,3.9076793,3.164649711,1.6428315,Iris-versicolor
5.291519,1.4645037,4.113940617,0.7700479,Iris-versicolor
2.937337,3.9268957,4.221369304,1.9679733,Iris-versicolor
6.945199,3.5579716,5.78915584,0.8957663,Iris-versicolor
5.544483,3.9661391,8.996373616,0.1764918,Iris-versicolor
4.94363,3.3986597,5.850460106,0.2836684,Iris-versicolor
7.521646,2.744136,4.36589938,1.8609016,Iris-versicolor
6.526022,2.5834147,2.468534935,1.0317941,Iris-versicolor
7.043634,3.1271329,1.380722571,2.2219446,Iris-versicolor
7.947162,3.0332112,3.789097415,0.4627442,Iris-versicolor
4.939891,1.6473204,4.488364152,1.0323035,Iris-versicolor
5.641448,2.8916468,5.296382525,0.4951236,Iris-versicolor
4.644678,3.1439086,4.089645441,0.7914658,Iris-versicolor
7.745305,2.9383487,1.043311674,2.259346,Iris-versicolor
5.6744,1.9454274,4.664807541,0.7883968,Iris-versicolor
5.249571,2.9616026,3.739795621,1.8097738,Iris-versicolor
5.307547,2.5738924,4.30692054,1.3379733,Iris-versicolor
5.147347,3.7503753,1.934512146,2.3075439,Iris-versicolor
7.24729,2.5906399,3.356568575,0.4709556,Iris-versicolor
6.176231,3.1702028,5.306950028,0.3518361,Iris-versicolor
3.621225,3.2597762,4.062676999,1.0495458,Iris-versicolor
6.618867,3.23164,3.796928463,1.2553216,Iris-versicolor
6.294304,4.6686207,7.334592419,0.3741528,Iris-versicolor
7.288977,3.101849,6.552722226,0.2656833,Iris-versicolor
5.030244,2.6105974,4.807218417,0.0596779,Iris-versicolor
