dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
20,4.0,0.0,11.0,5.0,0.0,0.0,0.0,2,0.42,0.4242,0.67,0.3,85.04332374834837
28,4.0,0.0,12.0,3.0,0.0,4.0,1.0,1,0.22,0.3333,0.66,0.1,78.87065311565806
24,4.0,0.0,9.0,5.0,0.0,6.0,0.0,2,0.56,0.5303,0.94,0.1,55.49362483201168
11,4.0,0.0,12.0,4.0,0.0,0.0,0.0,1,0.16,0.1667,0.59,0.2,63.127458992248364
10,4.0,0.0,10.0,21.0,1.0,1.0,0.0,1,0.56,0.5303,0.88,0.1,40.449659368791
6,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1,0.24,0.2424,0.65,0.2,85.13892246703776
7,1.0,1.0,3.0,2.0,0.0,3.0,1.0,1,0.3,0.2879,0.56,0.3,64.71340329968777
3,3.0,0.0,7.0,5.0,0.0,0.0,0.0,3,0.62,0.5758,0.83,0.2,54.7250187334084
10,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1,0.12,0.1212,0.5,0.2,53.2521989729205
21,2.0,1.0,5.0,3.0,0.0,1.0,1.0,2,0.56,0.5303,0.88,0.3,135.083832251839
20,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2,0.24,0.2576,0.87,0.1,61.183455824148055
3,4.0,1.0,12.0,2.0,0.0,1.0,1.0,1,0.42,0.4242,0.77,0.2,68.58061618888748
17,1.0,1.0,1.0,20.0,0.0,2.0,1.0,1,0.46,0.4545,0.63,0.4,40.16687964224858
24,4.0,1.0,9.0,2.0,0.0,1.0,1.0,2,0.46,0.4545,0.63,0.1,74.30590552806177
7,2.0,0.0,4.0,2.0,0.0,4.0,1.0,1,0.42,0.4242,0.54,0.0,41.413819547375525
11,1.0,1.0,3.0,20.0,0.0,0.0,0.0,1,0.44,0.4394,0.47,0.2,49.15086671301198
27,2.0,1.0,5.0,4.0,0.0,0.0,0.0,1,0.62,0.5758,0.83,0.2,42.182742919188186
18,2.0,1.0,4.0,2.0,0.0,3.0,1.0,2,0.5,0.4848,0.42,0.2,52.680021544828946
23,4.0,0.0,10.0,4.0,0.0,0.0,0.0,1,0.34,0.3636,0.87,0.0,65.54763728409846
18,2.0,1.0,4.0,2.0,0.0,3.0,1.0,2,0.5,0.4848,0.42,0.2,52.680021544828946
21,2.0,1.0,5.0,3.0,0.0,1.0,1.0,2,0.56,0.5303,0.88,0.3,135.083832251839
18,1.0,1.0,2.0,22.0,0.0,6.0,0.0,1,0.4,0.4091,0.4,0.4,45.13890028237824
12,4.0,1.0,11.0,3.0,1.0,1.0,0.0,1,0.4,0.4091,0.76,0.1,113.74972125033199
17,3.0,0.0,8.0,3.0,0.0,3.0,1.0,1,0.64,0.5909,0.78,0.0,83.04564656764248
8,1.0,1.0,3.0,2.0,0.0,4.0,1.0,1,0.46,0.4545,0.63,0.4,45.46824947854902
2,4.0,0.0,11.0,3.0,0.0,3.0,1.0,1,0.3,0.3333,0.75,0.0,100.82734407663237
14,2.0,0.0,5.0,6.0,0.0,6.0,0.0,2,0.5,0.4848,0.88,0.1,125.5893833441231
14,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1,0.02,0.4394,0.44,0.0,73.62562895060279
1,4.0,1.0,11.0,2.0,0.0,4.0,1.0,1,0.32,0.3333,0.66,0.1,55.32250852959735
23,1.0,0.0,12.0,3.0,0.0,5.0,1.0,3,0.38,0.3939,0.94,0.1,87.24637870157396
