sepal_length,sepal_width,petal_length,petal_width,class
6.8183368,3.0184469,1.4623131244,1.6752891,Iris-versicolor
8.492028,3.403504,1.8481561189,2.0610296,Iris-versicolor
3.5843399,3.361645,6.7242604831,0.2453934,Iris-versicolor
5.6000773,3.6685972,4.5804066261,0.8661724,Iris-versicolor
6.2510318,2.374575,6.7252664526,0.4232992,Iris-versicolor
4.7780884,2.6218822,2.5257360846,2.6982316,Iris-versicolor
3.2880569,3.1130068,6.7787484844,0.5517327,Iris-versicolor
5.5486015,2.4485446,5.0895540946,0.0006268,Iris-versicolor
4.9894086,2.3317937,3.9852075095,0.5104113,Iris-versicolor
4.8077774,3.9804444,6.5501086709,0.8420609,Iris-versicolor
6.2451836,3.4645306,3.7648963709,2.0055598,Iris-versicolor
5.5303481,2.5518009,1.8013017696,1.3754001,Iris-versicolor
3.2880569,2.6781787,1.9403737744,1.4951096,Iris-versicolor
3.2880569,3.0352692,5.8994746115,0.7257814,Iris-versicolor
6.5477697,2.2455813,2.0744867053,2.3544244,Iris-versicolor
5.5547604,2.4277922,2.5351441421,1.6569364,Iris-versicolor
3.3287902,3.0271195,6.8206616294,0.5178377,Iris-versicolor
4.4249856,3.5404349,5.7597472208,0.436151,Iris-versicolor
3.9767904,3.0771468,2.8425328994,1.3715063,Iris-versicolor
4.5196327,2.8801047,4.5020476174,0.8306871,Iris-versicolor
4.5019024,3.2554166,7.3189100821,0.4218826,Iris-versicolor
6.9827353,3.7134035,1.3992346307,2.0081203,Iris-versicolor
7.6081486,2.7355876,1.484360163,1.5217841,Iris-versicolor
4.1064505,2.4637253,5.7341481804,0.1759547,Iris-versicolor
6.9224675,3.5580757,5.2287708102,0.7095202,Iris-versicolor
3.7711859,3.2913527,7.4286704543,0.8740179,Iris-versicolor
5.6257444,2.2853207,3.0479393442,1.1713159,Iris-versicolor
8.8403217,3.5536735,3.8154542566,1.5592178,Iris-versicolor
3.650516,2.4244617,2.5628928072,1.4714353,Iris-versicolor
6.6065063,2.6996397,2.0787920375,1.2720782,Iris-versicolor
5.8013904,3.3050561,7.3242380777,0.4766098,Iris-versicolor
7.6006432,3.8121542,4.9584656049,1.8449279,Iris-versicolor
4.8496984,3.7408031,0.8280746164,2.4170825,Iris-versicolor
5.1745407,2.359144,3.2204477127,1.1098402,Iris-versicolor
3.2880569,2.4977776,4.1172168611,0.8418757,Iris-versicolor
5.4406189,2.4485617,4.3048866894,0.5537223,Iris-versicolor
3.2880569,1.8912294,0.0041982224,2.2776475,Iris-versicolor
6.0196789,4.0470094,2.7605947776,2.0586932,Iris-versicolor
3.2880569,3.2088742,1.2806856797,2.5487974,Iris-versicolor
8.9908381,3.0750068,3.9038867592,1.5293573,Iris-versicolor
3.2880569,2.980861,1.0174621421,1.9946942,Iris-versicolor
4.4989989,2.1681579,3.6453794047,0.3671039,Iris-versicolor
4.555536,3.9030619,4.5307265434,1.1360932,Iris-versicolor
3.5307743,2.7546943,3.0062896927,1.150484,Iris-versicolor
3.2880569,1.8912294,2.651823946,1.3015161,Iris-versicolor
8.1949248,3.8308155,3.9053226528,1.0456137,Iris-versicolor
5.3264625,3.9854449,4.9187615266,1.7935423,Iris-versicolor
8.2356425,3.7304102,3.7645700008,2.531926,Iris-versicolor
4.9550919,2.4035459,6.5319124898,0.2854345,Iris-versicolor
5.0954684,4.2235997,4.2148488409,1.5879815,Iris-versicolor
5.8348988,2.6568282,4.1491639768,0.9817176,Iris-versicolor
7.2561828,2.1724078,4.0836443411,1.0175035,Iris-versicolor
7.4743094,3.2833927,5.5289697617,0.898386,Iris-versicolor
4.0680983,2.1302602,2.1891060365,1.6780437,Iris-versicolor
7.0341503,3.3454545,6.7815979934,0.3764603,Iris-versicolor
6.013125,3.0831179,5.9790068969,1.1131623,Iris-versicolor
3.7885933,2.7081001,7.1323295603,0.2554069,Iris-versicolor
8.660162,2.6570937,4.7216888499,0.6764516,Iris-versicolor
5.6319428,2.9030164,5.0344821144,0.8474354,Iris-versicolor
3.2880569,3.7460031,4.5446813683,2.1624819,Iris-versicolor
5.9173194,3.3021767,5.4045559649,0.008967,Iris-versicolor
6.1261732,2.7411035,5.0946060417,0.2899108,Iris-versicolor
4.512997,3.5409667,0.0041982224,2.8511402,Iris-versicolor
7.4208492,3.4596345,3.9436910503,0.9829446,Iris-versicolor
5.2146092,3.9023758,4.2843368901,1.9840127,Iris-versicolor
4.5770472,2.3439284,2.9145104664,2.0707572,Iris-versicolor
4.9853304,4.029241,6.8771161796,1.4145844,Iris-versicolor
9.0522255,3.0669891,6.2126912088,0.5139909,Iris-versicolor
6.8595582,3.0841154,4.8977924795,0.0767357,Iris-versicolor
7.8081108,2.6366049,2.5664754756,0.8481836,Iris-versicolor
5.5502483,2.9772273,2.5344870446,1.7042826,Iris-versicolor
