Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
76837.47994,1310.23803,532.145723,308.51345,1.1661154,1.00108555,85979.286255,229.00617,0.79213974,0.9950541,0.7472187,0.9092912,0.0031377459,0.001051592,0.62178091,0.9966854,CALI
123247.86718,950.23204,609.018973,251.71695,1.075158,0.78249043,132118.967897,232.44852,0.8243708,0.9855977,0.742062,0.8487977,0.0046102015,0.000950845,0.7901145,1.0072279,CALI
124060.11774,1212.02827,578.027865,308.7399,1.5398713,0.60106031,88286.123541,338.42703,0.79169669,0.9806131,0.8044826,0.9584145,0.0028177208,0.000661457,0.48365227,0.9931772,CALI
101835.39549,1371.81442,547.289402,319.18144,1.8092096,0.99437369,145434.271976,149.62764,0.70031172,0.9730211,0.8564325,0.9365375,0.0045683651,0.001186884,0.39168583,1.0024079,CALI
155529.15484,878.61214,482.486853,307.19506,1.7164096,0.57872117,95276.847367,303.64278,0.8229553,0.9763335,0.8033664,0.9261178,0.0050208069,0.000777023,0.58871628,1.0045549,CALI
134706.06812,1206.15228,503.35457,235.61063,1.0631754,0.73316428,149365.302628,191.48856,0.6871041,0.9765333,0.8441448,0.9493426,0.0049496513,0.001034438,0.78144457,0.9849779,CALI
129767.76916,1453.50498,546.298791,275.89322,1.2512331,0.73447784,154230.745721,189.83755,0.74525835,0.9836932,0.7297301,0.7458078,0.004062722,0.001297336,0.72766566,0.9795851,CALI
133596.50088,1423.86714,577.291923,320.71642,1.2332138,0.59074253,79496.865687,182.93345,0.86849005,0.9852306,0.9816916,0.9056237,0.0064196067,0.000964855,0.75587932,1.0077836,CALI
165079.93189,1314.87037,217.539964,292.48387,1.3804692,0.92129525,154634.988939,254.06507,0.81216664,0.9936606,0.9625875,0.9174673,0.0025914336,0.001706156,0.96118081,0.992111,CALI
102820.10253,1420.96047,540.646273,262.94441,1.5139305,0.58970019,154406.935794,266.04146,0.63417386,0.9883419,0.8091665,0.8597278,0.0046426951,0.001607693,0.40179837,1.0042902,CALI
114366.84533,1374.7552,361.801497,321.95084,1.1943651,0.51223015,147506.870622,235.02566,0.60288453,0.985208,0.7167432,0.792012,0.0029193024,0.001651844,0.53306568,1.0061133,CALI
95533.32957,1303.42755,397.128892,221.83774,1.6335442,0.52278377,121301.232525,140.53293,0.78340485,0.9778436,0.7364755,0.9645918,0.0072409072,0.000121021,0.52802012,0.982079,CALI
68085.96918,1009.13924,259.952022,234.90469,0.9712155,0.49765879,150490.624962,306.29433,0.70374524,0.975266,0.7733967,0.8559129,0.0094443635,0.00011728,0.82033977,0.9991821,CALI
69555.48553,1194.77007,385.296661,320.92402,0.9631851,0.47056824,116954.814732,174.16614,0.80693479,0.9729907,0.7843103,0.9448051,0.0028776744,0.000211379,0.63305659,0.9774524,CALI
133886.0279,1502.25335,608.458209,320.88162,1.0989681,0.74243168,6637.342225,214.47015,0.83934301,0.9755543,0.7167432,0.9579476,0.0050042581,0.000516298,0.62991418,0.9902538,CALI
166274.13164,1435.29738,431.180519,316.79935,1.3509892,0.87626891,35689.22519,322.27027,0.89351353,0.9744368,0.846891,0.958702,0.0043956781,0.00151077,0.72230447,0.9887387,CALI
116384.72303,1488.0768,194.782649,274.50238,0.9883396,0.75382637,143378.414888,346.62333,0.79233716,0.9940845,0.7461011,0.8945724,0.0039401743,0.001354049,0.57531954,0.999438,CALI
91321.39183,1185.98683,582.463366,297.51766,1.1947373,0.75161427,47587.847029,406.81754,0.81163526,0.996348,1.048518,0.8669082,0.0051252308,0.001213478,0.44127675,0.9986731,DERMASON
108643.64348,640.83587,510.991357,264.22234,2.0297532,0.8930791,151398.856494,140.70701,0.81075525,0.9863064,1.0163535,0.8649318,0.0065335428,0.000662996,0.96644859,0.9830862,DERMASON
104238.6839,1489.3573,549.753252,169.16496,1.0960918,0.75564096,50498.343845,264.38881,0.74462126,0.9796392,1.0087508,0.8324693,0.0036602947,0.000865886,0.60697092,0.992505,DERMASON
160096.30779,1288.22377,371.918639,260.51698,1.054966,0.85055962,102301.311377,165.67852,0.78553988,0.9907799,0.8637174,0.7760117,0.0049833841,0.001188727,0.89659525,0.9901841,DERMASON
103558.21631,788.03696,582.504361,295.88132,1.039014,0.54670786,124681.134123,392.04501,0.79815858,0.9875119,0.8333296,0.7259298,0.0065043674,0.001260201,0.65245528,0.9974338,DERMASON
131757.97782,1214.15815,598.712791,271.85064,1.3379744,0.70826452,112318.545247,426.7907,0.65219775,0.978031,1.0188216,0.8449042,0.0059097571,0.001475407,0.81202729,0.9819237,DERMASON
74680.30583,1012.85266,593.818325,315.15753,1.5840848,0.823197,77981.951462,398.24051,0.65679785,0.975126,1.054661,0.7723112,0.0052167666,0.00172669,0.62886436,0.995591,DERMASON
148058.16193,801.38921,437.556802,218.40048,1.4951217,0.82411145,145586.459585,79.89971,0.69849543,0.987771,0.9584667,0.8981701,0.0049436806,0.000927601,0.67488988,0.9902551,DERMASON
75886.17748,176.47428,500.627427,265.60194,2.021324,0.68874377,91253.569145,373.71338,0.8884494,0.9886548,0.7675372,0.879608,0.0034599715,0.001105958,0.41983457,0.9905564,DERMASON
122149.56725,1187.25417,504.983524,302.40503,1.0758063,0.69367104,156874.902927,430.51273,0.85878994,0.9818184,1.0708974,0.6840688,0.003244812,0.002639732,0.604631,0.9878227,DERMASON
24669.86582,1488.76067,293.581131,303.905,1.9577352,0.56837721,130991.335098,372.5848,0.66056533,0.9941194,0.9642787,0.6678961,0.0060288128,0.001312432,0.57477735,0.9853978,DERMASON
138156.12566,810.54862,456.513513,317.40515,1.0078426,0.96000754,128132.476324,262.30354,0.80644645,0.9753433,0.7914613,0.7671069,0.0078282554,0.001413858,0.49886255,0.9925856,DERMASON
61842.30314,367.41316,256.361779,322.29274,1.6008363,1.10492465,151798.630769,282.96272,0.7600832,0.9770643,0.9299157,0.8810793,0.0088451528,0.000262092,0.85776912,0.981654,DERMASON
58416.87448,1108.60503,604.595412,318.91769,1.6546164,0.60051741,5319.376846,125.69777,0.74989579,0.9769092,0.8483801,0.7392692,0.0041226598,0.001007056,0.9339909,0.9884053,DERMASON
36257.23074,460.59902,231.551743,308.11464,1.01601,0.71461473,23330.092969,192.24656,0.90746254,0.9763104,0.7403513,0.8272606,0.0057035958,0.001223852,0.83528707,0.9949728,DERMASON
110852.57928,1129.06275,597.549138,245.77152,1.4097888,0.70640157,123136.373611,346.81731,0.79468128,0.9757446,0.9532061,0.7785038,0.0040233356,0.002227899,0.52359333,0.9805918,DERMASON
38776.674,1227.64968,344.083042,281.72283,1.3211673,1.08689761,75539.245434,427.99207,0.84080259,0.9884476,1.0717714,0.7843422,0.0037025414,0.001458287,0.76472812,0.9960528,DERMASON
278.38107,169.21738,371.119252,105.74911,0.9631851,0.47056824,36.000317,186.81395,0.63724856,0.9729907,0.9562727,0.6766456,0.0025416478,0.0023935,0.34234205,0.9774524,HOROZ
164082.61064,278.9899,256.132517,149.51327,1.777194,0.60901529,19464.768802,114.81084,0.60661844,0.9738713,0.7321386,0.7310167,0.0075696464,0.001752687,1.00298853,0.9895692,HOROZ
31595.59965,283.67728,400.601705,125.72932,2.201414,0.6843594,86679.038266,101.08005,0.85263184,0.9776771,0.9236591,0.7828601,0.0086785761,0.001115192,0.80072732,0.988065,HOROZ
139321.03586,911.76764,505.366642,107.22189,1.2400274,0.85576811,61730.082888,284.92351,0.78757994,0.9925752,1.0587602,0.7815517,0.0089532267,0.001693098,0.82710828,0.9795483,HOROZ
