age,fnlwgt,capital-gain,capital-loss,hours-per-week,education-num,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
83.18645107,128154.54368,2251.369564,1414.019470378,6.62816,14.388209, ?, Assoc-acdm, Widowed, Craft-repair, Other-relative, Asian-Pac-Islander, Male, India,50K-
25.63621694,294606.49216,17742.633395,640.2115171528,27.29,16.099449, Without-pay, 1st-4th, Never-married, Armed-Forces, Own-child, Asian-Pac-Islander, Male, India,50K-
59.31325403,254477.79586,16961.678379,1230.1005142205,6.65527,10.619921, Without-pay, HS-grad, Separated, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male, Yugoslavia,50K-
8.76456661,506237.2105,17348.392484,628.439598867,40.6603,13.523526, Private, 11th, Married-spouse-absent, Transport-moving, Unmarried, Other, Male, Cambodia,50K-
46.35678982,103444.86722,24225.282274,506.0814983962,62.90525,11.033361, Never-worked, Bachelors, Married-spouse-absent, Armed-Forces, Not-in-family, Asian-Pac-Islander, Female, Poland,50K-
45.81464245,129730.37499,25522.546676,901.242675192,40.17507,10.990313, State-gov, Some-college, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male, China,50K-
31.59784915,384575.80889,23846.200487,1534.5304912524,8.92686,7.247852, Federal-gov, Some-college, Divorced, ?, Other-relative, Amer-Indian-Eskimo, Female, France,50K-
31.00127407,347115.17569,11225.108771,361.1977649206,43.44857,8.127704, Self-emp-inc, 1st-4th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male, Taiwan,50K-
8.24877164,516072.13181,29568.147699,1124.1719395828,18.62525,5.273686, State-gov, HS-grad, Separated, Farming-fishing, Own-child, White, Female, Haiti,50K-
0.03904451,231114.62176,7033.236957,0.0054957275,33.93486,7.678643, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Own-child, Other, Female, England,50K-
21.81574943,224231.84068,26395.181148,252.4575854517,63.17877,8.970944, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Female, Philippines,50K-
21.01708782,360980.8256,12931.691475,419.2289516836,58.33082,8.96509, Federal-gov, Some-college, Divorced, Craft-repair, Husband, Black, Male, Laos,50K-
45.96891116,237210.1109,3983.269411,966.8437826521,50.61196,12.309062, Never-worked, Assoc-acdm, Married-AF-spouse, Transport-moving, Other-relative, Amer-Indian-Eskimo, Male, Yugoslavia,50K-
27.18157256,217.71783,5.621231,1142.4955062648,2.70765,11.242134, Self-emp-inc, Bachelors, Divorced, Protective-serv, Unmarried, White, Male, Japan,50K-
54.54710289,110341.6955,783.454504,1008.2613694936,23.49443,5.058327, Self-emp-inc, Preschool, Never-married, Priv-house-serv, Wife, Amer-Indian-Eskimo, Male, United-States,50K-
30.54960005,495370.99345,8922.985629,852.002585615,80.76964,10.772272, Local-gov, 12th, Widowed, Prof-specialty, Husband, Amer-Indian-Eskimo, Female, South,50K-
51.41790797,158234.25452,9552.914122,991.6101488416,39.87429,8.308693, Without-pay, HS-grad, Never-married, Exec-managerial, Other-relative, Black, Female, United-States,50K-
2.437666,458468.38176,18249.483075,657.7108219151,2.05861,7.802536, Federal-gov, Preschool, Married-AF-spouse, Protective-serv, Own-child, White, Female, South,50K-
54.90151166,219821.60689,28053.9803,114.3806480865,22.70976,7.274885, ?, 10th, Married-spouse-absent, Tech-support, Wife, Other, Male, ?,50K-
0.03904451,462750.0543,6174.92697,0.0054957275,12.27279,10.907327, Private, Doctorate, Married-spouse-absent, Tech-support, Own-child, Black, Male, Guatemala,50K-
0.03904451,217.71783,5.621231,0.0054957275,61.45751,11.817397, Without-pay, Bachelors, Married-civ-spouse, Farming-fishing, Unmarried, White, Male, Laos,50K-
35.14841893,40759.01736,3363.989226,1441.8575932602,34.57389,9.965142, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Husband, White, Female, Mexico,50K-
8.60926713,37807.27343,5393.665124,1223.8422413739,40.63143,7.376979, Self-emp-inc, 9th, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Male, Jamaica,50K-
31.95872605,523246.84788,8383.274954,83.1385240047,0.50684,11.709283, Private, 10th, Widowed, Prof-specialty, Own-child, White, Male, Canada,50K-
14.13410515,380318.93721,14082.953095,413.3152574892,43.45171,10.898484, Never-worked, 12th, Widowed, Prof-specialty, Not-in-family, Other, Female, El-Salvador,50K-
27.91721174,314880.3519,7620.546396,0.0054957275,43.14001,12.141364, Private, Preschool, Separated, Craft-repair, Husband, White, Male, Dominican-Republic,50K-
16.66511786,271787.75254,975.125914,274.3659781613,54.76797,16.451216, Private, 1st-4th, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Female, Canada,50K-
2.10323592,200986.36061,5.621231,0.0054957275,58.64599,7.285475, Private, 11th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female, Japan,50K-
42.71063764,309372.02488,1893.353671,120.8200443758,49.66617,7.194502, Without-pay, 5th-6th, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Female, South,50K-
25.33007005,456142.84441,11262.285029,169.5395623316,46.73432,4.385172, Private, Masters, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female, Canada,50K-
49.92019941,58556.28731,5380.1565,120.8781499787,57.79755,3.899031, Self-emp-not-inc, HS-grad, Married-AF-spouse, Craft-repair, Own-child, Black, Male, Cambodia,50K-
15.94361718,378650.77796,4660.835353,878.7331059035,0.81905,9.908698, Local-gov, HS-grad, Married-spouse-absent, Armed-Forces, Husband, Asian-Pac-Islander, Female, Greece,50K-
0.03904451,424654.01179,3253.986429,695.6840820496,48.81731,10.234049, Self-emp-not-inc, Doctorate, Married-spouse-absent, Armed-Forces, Wife, White, Female, Thailand,50K-
6.57797502,217.71783,22121.053241,0.0054957275,24.48402,11.017663, Local-gov, 5th-6th, Divorced, ?, Husband, White, Female, Philippines,50K-
0.03904451,20393.6575,3896.941417,547.2753803271,60.54276,3.850554, Private, HS-grad, Married-spouse-absent, ?, Other-relative, Black, Male, Ireland,50K-
82.69809044,53164.4914,5731.216342,475.0144890547,9.37294,9.885869, Federal-gov, 10th, Divorced, Sales, Own-child, White, Female, Mexico,50K-
42.68767777,484486.79882,20113.392134,967.9690355618,30.85837,15.744043, Local-gov, 10th, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male, Canada,50K-
15.16090529,451191.06442,3469.177143,0.0054957275,76.50944,1.652944, State-gov, Doctorate, Married-AF-spouse, ?, Unmarried, Amer-Indian-Eskimo, Female, Scotland,50K-
74.18358668,393507.17752,4265.038362,507.2995155837,59.31544,3.28057, Private, Preschool, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Female, Ireland,50K-
3.02372286,426551.59518,5.621231,960.4247901657,0.50684,8.395007, Never-worked, 1st-4th, Divorced, Sales, Other-relative, Black, Female, Hong,50K-
25.98660461,225491.68489,664.857875,841.0852823069,22.56354,10.607167, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male, Laos,50K-
30.92766044,319670.39326,8475.062674,369.3221157632,32.93862,2.81591, Self-emp-not-inc, Preschool, Separated, Armed-Forces, Unmarried, Amer-Indian-Eskimo, Female, Columbia,50K-
61.77960747,50646.56913,22548.183125,603.6767848828,54.6183,10.465354, Private, Preschool, Never-married, Tech-support, Other-relative, White, Male, Portugal,50K-
79.70777869,212846.36809,9187.002042,1487.4058223093,13.48756,14.516827, Self-emp-not-inc, 10th, Widowed, Priv-house-serv, Wife, Asian-Pac-Islander, Male, Jamaica,50K-
14.61861333,290969.87471,6510.710811,484.9022906209,12.06009,13.085831, Without-pay, 11th, Divorced, Farming-fishing, Husband, Other, Female, Hong,50K-
13.46632427,217.71783,25109.75786,892.0324293533,4.27942,11.686816, ?, Assoc-acdm, Widowed, Exec-managerial, Husband, Black, Female, Canada,50K-
0.03904451,397848.34934,5.621231,1354.1168391951,0.50684,13.548477, Private, Preschool, Married-spouse-absent, Handlers-cleaners, Husband, White, Male, Guatemala,50K-
18.64121577,406570.89627,11593.794975,843.6723830408,67.31844,6.502083, Self-emp-not-inc, Masters, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male, ?,50K-
78.00917127,540458.22578,1436.997624,788.7463090506,64.36485,7.986369, Without-pay, 9th, Never-married, Craft-repair, Wife, White, Female, Dominican-Republic,50K-
0.03904451,281925.40735,5.621231,577.0785045467,55.88602,12.549612, Private, HS-grad, Never-married, Priv-house-serv, Wife, White, Female, Scotland,50K-
0.7141703,4669.24296,5.621231,520.9819819754,0.50684,8.353781, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Wife, White, Male, Ecuador,50K-
57.72124944,475438.04067,26273.094777,116.2565628414,58.52704,7.993661, Never-worked, 5th-6th, Never-married, Transport-moving, Other-relative, Other, Male, Ireland,50K-
0.03904451,217.71783,9810.573161,0.0054957275,0.50684,15.344182, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female, Portugal,50K-
0.03904451,217.71783,5.621231,0.0054957275,0.50684,10.042489, Without-pay, Masters, Never-married, Handlers-cleaners, Other-relative, White, Male, Canada,50K-
58.3026777,193764.04669,2727.905823,1102.4227832583,63.81933,5.810078, Private, 12th, Widowed, Machine-op-inspct, Not-in-family, White, Male, China,50K-
40.93110217,483669.60542,2709.197368,855.7882933664,40.11801,13.3151, Private, Prof-school, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male, Jamaica,50K-
14.88937679,385599.47881,5.621231,762.193071307,48.11198,10.960904, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, White, Male, Hong,50K-
65.51568464,39362.86186,19780.824485,1078.6661936284,23.36461,8.78836, Federal-gov, Bachelors, Married-spouse-absent, Protective-serv, Unmarried, White, Male, Peru,50K-
60.47329133,204255.22144,9409.357953,14.4615442009,39.47623,10.624609, Without-pay, Prof-school, Married-spouse-absent, ?, Not-in-family, White, Female, Philippines,50K-
21.15978336,217.71783,5.621231,36.7648248977,6.01244,12.376925, Federal-gov, 9th, Married-civ-spouse, Armed-Forces, Own-child, Other, Female, United-States,50K-
27.85628087,421101.8061,1002.609076,1333.4737879111,40.13632,9.942327, Never-worked, Some-college, Widowed, Armed-Forces, Husband, Amer-Indian-Eskimo, Female, Guatemala,50K-
47.00748739,426108.23807,8512.240404,769.7192758419,16.42633,12.51031, Without-pay, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male, Philippines,50K-
6.59218781,78201.58977,16228.492805,450.6192377025,0.50684,18.176155, Without-pay, Bachelors, Separated, Machine-op-inspct, Husband, White, Female, Ecuador,50K-
20.6722141,226135.70491,3735.575629,470.3578637105,39.27227,10.914576, Self-emp-inc, 10th, Separated, Craft-repair, Husband, White, Female, Scotland,50K-
68.58396936,61629.91325,367.312151,1518.576718027,33.1503,18.53517, State-gov, Masters, Separated, Armed-Forces, Wife, White, Male, Trinadad&Tobago,50K-
18.11448508,310752.55502,14052.390134,1555.4437559694,36.7555,9.682481, ?, Doctorate, Widowed, Priv-house-serv, Husband, Other, Male, Dominican-Republic,50K-
50.30734057,324739.85665,2880.895634,1361.8250606016,25.19966,12.981195, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Unmarried, Black, Male, Scotland,50K-
0.03904451,326327.85323,16.034828,517.6365703703,0.50684,8.992099, ?, 7th-8th, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male, Haiti,50K-
74.77994477,362465.01556,23247.005737,484.6784826133,80.45893,17.799369, Federal-gov, HS-grad, Separated, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male, Columbia,50K-
28.2374091,200934.07849,13003.878961,1537.4572937543,3.84563,1.84689, Local-gov, 12th, Divorced, Prof-specialty, Own-child, Black, Male, ?,50K-
18.69192958,534452.7642,13957.388433,1413.6383796894,66.99776,9.318177, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female, Greece,50K-
0.03904451,248157.65114,917.319639,0.0054957275,0.50684,11.579251, Private, Preschool, Separated, Transport-moving, Husband, White, Male, Germany,50K-
78.01762092,489884.77888,19255.682412,339.3350818988,11.7625,7.586746, Self-emp-not-inc, Preschool, Never-married, Transport-moving, Other-relative, Asian-Pac-Islander, Female, Japan,50K-
29.07485145,217.71783,5.621231,1129.2841477865,3.3917,8.418257, Never-worked, Assoc-voc, Widowed, Sales, Not-in-family, White, Male, United-States,50K-
60.55433789,379273.77499,11338.61317,665.8490334204,25.64113,11.392976, State-gov, 5th-6th, Separated, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male, Laos,50K-
80.31635118,382300.53613,14068.178051,200.068712495,37.60635,12.082101, Private, 5th-6th, Married-AF-spouse, Machine-op-inspct, Other-relative, White, Male, Laos,50K-
23.2486262,457243.19098,952.948456,904.3953388006,29.51653,12.016225, Private, 12th, Separated, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male, South,50K-
15.39315561,17608.95956,15840.08755,774.1174092998,56.60895,13.677696, Self-emp-not-inc, Assoc-acdm, Widowed, ?, Not-in-family, White, Female, Japan,50K-
37.85803416,167439.61345,272.256345,1514.1357348785,36.64831,11.795603, Federal-gov, Assoc-voc, Separated, Sales, Wife, Amer-Indian-Eskimo, Female, Germany,50K-
22.60500759,179823.45404,4900.345058,1156.2419653813,8.69242,12.060254, ?, 12th, Divorced, Prof-specialty, Wife, Asian-Pac-Islander, Male, Guatemala,50K-
15.61382079,497539.03052,17459.224575,76.2723508868,53.79118,4.125359, Private, HS-grad, Widowed, ?, Own-child, Asian-Pac-Islander, Male, Taiwan,50K-
31.53813951,383443.84907,5559.936672,1375.936493141,86.74611,8.292175, ?, 9th, Married-spouse-absent, Craft-repair, Not-in-family, White, Female, United-States,50K-
27.41924153,133000.15772,5.621231,0.0054957275,0.50684,8.859858, Local-gov, 12th, Never-married, Armed-Forces, Unmarried, Amer-Indian-Eskimo, Male, Italy,50K-
27.26889871,217.71783,10420.860137,409.4561824031,16.50748,6.505685, State-gov, Some-college, Married-AF-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male, Guatemala,50K-
0.03904451,217.71783,5.621231,3.3249905933,16.36521,8.635468, ?, 11th, Separated, Handlers-cleaners, Not-in-family, White, Male, Germany,50K-
37.642081,186731.70936,13171.535145,394.4783572142,65.72699,13.490803, Self-emp-inc, 10th, Widowed, ?, Wife, Other, Female, Cuba,50K-
37.50462801,127377.72584,18477.619299,112.1103965602,78.64683,14.509424, Never-worked, 7th-8th, Never-married, Farming-fishing, Wife, Asian-Pac-Islander, Female, United-States,50K-
79.31342798,498462.60514,12667.240391,701.3366556016,27.53949,18.209107, Private, 11th, Married-spouse-absent, Farming-fishing, Wife, Amer-Indian-Eskimo, Male, Taiwan,50K-
27.47030399,240383.04044,16665.805825,654.3803255865,24.61614,9.581001, Private, 9th, Separated, Adm-clerical, Wife, Black, Female, Columbia,50K-
61.34759114,39582.82137,8111.349685,1245.9263092792,2.89477,7.991077, Self-emp-not-inc, 5th-6th, Separated, Transport-moving, Wife, White, Male, Cambodia,50K-
61.93478894,408702.80619,4880.032881,1243.062270519,74.66962,7.102728, Without-pay, Assoc-voc, Separated, Handlers-cleaners, Husband, Other, Male, South,50K-
13.11673659,143180.03758,20758.289748,896.7933796411,50.50947,8.299362, Self-emp-not-inc, Assoc-voc, Widowed, Protective-serv, Not-in-family, White, Female, Laos,50K-
46.87895714,415170.72363,15042.276668,857.2855582817,45.93953,15.557583, Self-emp-not-inc, Preschool, Never-married, Farming-fishing, Wife, Other, Male, Vietnam,50K-
15.53052504,51124.09612,25772.772578,444.0019943824,38.4371,13.71392, Federal-gov, Bachelors, Married-civ-spouse, Protective-serv, Other-relative, Black, Female, Columbia,50K-
21.87348853,326916.2421,1926.752386,382.1207741432,25.07749,11.778384, Without-pay, Assoc-voc, Never-married, Handlers-cleaners, Husband, Black, Male, Iran,50K-
25.05950174,15732.26563,18696.057837,1062.9786665261,41.37663,12.084022, Private, Preschool, Divorced, Protective-serv, Other-relative, Other, Male, Jamaica,50K-
30.79967999,48959.98179,8208.270678,1202.634459383,23.83771,8.167994, State-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Female, Italy,50K-
28.31881356,181698.66506,19313.397113,1279.7986895561,21.19859,16.161017, Local-gov, 12th, Married-AF-spouse, Farming-fishing, Wife, White, Male, Greece,50K-
68.18539207,303487.30801,7139.975187,440.7656744996,62.79911,14.086008, Federal-gov, Bachelors, Divorced, Exec-managerial, Own-child, Black, Male, Yugoslavia,50K-
0.03904451,217.71783,5.621231,1197.5576557839,0.50684,12.870419, Self-emp-inc, 11th, Never-married, Other-service, Unmarried, White, Male, Columbia,50K-
0.03904451,217.71783,5.621231,46.6054355615,0.50684,10.706818, Without-pay, Preschool, Widowed, Exec-managerial, Wife, White, Male, Dominican-Republic,50K-
38.2334572,178347.70906,3613.632936,246.8438672466,46.84613,11.253595, Never-worked, Assoc-acdm, Never-married, Other-service, Other-relative, White, Male, China,50K-
22.90643075,230934.00497,6929.950387,491.2287048922,53.44565,15.970654, Self-emp-inc, Bachelors, Widowed, ?, Husband, White, Female, South,50K-
0.03904451,217.71783,5.621231,1297.5841548301,53.796,11.477163, Private, 1st-4th, Separated, Craft-repair, Unmarried, White, Female, Laos,50K-
42.31988822,382234.45457,17855.154474,1013.2906992355,13.03977,15.073667, Private, 10th, Never-married, Farming-fishing, Husband, Black, Male, Canada,50K-
46.5000329,260157.44324,13953.397221,1245.8599022851,61.41285,12.925648, Never-worked, 5th-6th, Widowed, Farming-fishing, Husband, Black, Male, Haiti,50K-
4.08003898,538167.06134,1111.466678,676.0372894804,88.61573,11.919831, Private, Preschool, Divorced, Handlers-cleaners, Husband, Black, Male, Puerto-Rico,50K-
67.23079024,475125.36214,2290.739871,1207.6504313203,39.48755,9.850471, Private, 10th, Married-civ-spouse, Exec-managerial, Other-relative, Black, Male, Canada,50K-
40.94588048,24199.34898,14776.021246,1166.0868733896,44.10991,10.162335, Federal-gov, Preschool, Married-AF-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Female, Jamaica,50K-
30.34861552,220061.15752,4934.844894,1484.9999490034,32.54267,10.733719, Local-gov, HS-grad, Married-AF-spouse, Armed-Forces, Not-in-family, White, Female, Cambodia,50K-
81.76114935,422899.6906,5769.979303,281.8967810861,49.14545,11.290172, Private, 1st-4th, Widowed, Machine-op-inspct, Husband, Asian-Pac-Islander, Female, Dominican-Republic,50K-
55.2943492,79141.56631,9227.5858,1216.3176881057,12.92946,14.251187, Private, Assoc-voc, Never-married, Protective-serv, Husband, Black, Male, Ireland,50K-
