age,fnlwgt,capital-gain,capital-loss,hours-per-week,education-num,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
37.2790487,121751.77104,1621.237364,427.46718328,10.4459938,13.5949663, State-gov, Masters, Separated, Sales, Own-child, White, Female, ?,50K-
68.3549095,226665.08868,526.205699,1306.24312727,51.0137589,7.2433827, Self-emp-inc, 12th, Married-civ-spouse, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Female, Puerto-Rico,50K-
46.5269834,567803.71976,2366.035758,626.55240083,82.1065144,4.8212204, Self-emp-not-inc, 12th, Separated, Sales, Husband, Amer-Indian-Eskimo, Female, China,50K-
6.3949147,247.12813,27839.641617,708.59734498,64.5894584,11.6734159, Private, 7th-8th, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male, Dominican-Republic,50K-
27.5419135,140834.65927,14581.242909,556.8640016,34.2162942,9.0592842, Local-gov, HS-grad, Widowed, Transport-moving, Husband, Amer-Indian-Eskimo, Female, England,50K-
12.8455861,469161.65302,12127.380473,1421.3955751,26.1846709,10.0387069, State-gov, Assoc-voc, Widowed, Other-service, Husband, White, Female, Greece,50K-
1.6597896,6713.82021,14069.488362,537.50879004,42.2783542,8.9161379, State-gov, 7th-8th, Never-married, ?, Husband, White, Male, Hungary,50K-
57.3820555,384585.47571,13187.6436,63.76288385,54.4444742,9.3893106, Private, 9th, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Female, Mexico,50K-
7.5740841,382629.85517,14756.050596,63.48042032,71.774624,11.2409587, Federal-gov, 7th-8th, Married-spouse-absent, ?, Husband, White, Male, Puerto-Rico,50K-
15.5289123,253913.91576,11017.355096,1475.16720607,12.778175,19.054961, State-gov, 12th, Married-spouse-absent, Tech-support, Not-in-family, Asian-Pac-Islander, Female, Taiwan,50K-
45.1427106,258571.48493,2807.073735,68.81611105,67.4086205,14.1017449, Self-emp-inc, 10th, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female, Thailand,50K-
1.6597896,247.12813,12.888791,0.47816199,26.5588733,6.6760219, Self-emp-not-inc, 11th, Married-civ-spouse, Tech-support, Other-relative, White, Male, Vietnam,50K-
85.5039033,38692.97627,26406.111864,48.47800779,13.7999994,12.2671027, Local-gov, 11th, Married-spouse-absent, Other-service, Husband, Other, Female, Greece,50K-
