fixed acidity,volatile acidity,citric acid,residual sugar,is_red,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.37934,0.3873038888,0.0633255169,8.9541225433,0.3095601797,0.1296951771,38.9038124,128.75645447,0.9901282,3.0527158,0.8318341374,9.959149,5.34
5.806947,0.3250680268,0.2065283507,3.8556087017,0.3301922381,0.0457975641,34.4962692,116.2148056,0.997584,3.2160561,0.5735434294,10.278562,5.612
9.044978,0.138699919,0.3464386761,7.1446118355,0.5524118543,0.0635137856,26.9320221,189.9546051,0.9930696,2.8109107,0.5628376603,10.494606,5.632
5.069427,0.1644564122,0.5731979609,6.4958691597,0.0656770244,0.0589445606,35.4131889,55.94159317,0.9905084,2.9877725,0.4025430083,9.758636,5.796
9.520887,0.4708817899,0.2865002751,4.951002121,0.2555083334,0.0321929045,16.0045033,158.55233765,0.9924456,3.3464122,0.5843903422,9.391194,5.486
5.846762,0.2603071928,0.6333676577,9.3022880554,0.4248327911,0.0668872967,32.1350212,145.94114685,0.9942446,3.1245222,0.4644485414,9.303142,5.348
6.435828,0.2291563451,0.1667910963,12.413433075,0.7311022878,0.0970372856,42.8714981,176.93762207,0.9940915,3.2588346,0.5431355834,10.846909,5.934
5.990352,0.4223361015,0.2123380154,11.4124851227,0.1012913063,0.0863411576,27.0214272,170.96736145,0.9951043,3.4007578,0.2825499475,8.528827,5.114
5.671168,0.4861546755,0.4887734056,5.3028740883,0.5896694064,0.0431919992,30.138298,77.01411438,0.9953908,3.363101,0.4236397743,11.100384,5.832
5.937897,0.2659529746,0.3361845315,2.4746413231,0.4859061241,0.1170327812,1.2396643,53.05145264,0.9895092,3.0194576,0.5397983789,10.20324,5.186
8.250936,0.1845031679,0.3630495369,9.6304130554,0.1513035446,0.1233293712,14.2280197,227.16349792,0.9961487,3.128818,0.3323130906,10.098347,5.834
4.873546,0.5058059692,0.3895016611,5.2043004036,1.0704256296,7.00244e-05,0.1186936,0.42976564,0.9961146,3.269583,0.6560652256,11.275187,5.82
7.996389,0.3495790064,0.1711801589,1.9862388372,0.4266532362,0.060297288,6.0810351,120.33531189,0.9992184,3.6870544,0.3510287702,10.825109,5.234
8.376091,0.4732829928,0.233970508,3.3338806629,0.3986400068,0.0275283121,31.6418133,112.27124786,0.9972529,2.9846144,0.6624530554,11.310517,5.726
8.049498,0.5131052732,0.299603045,9.7450647354,0.1291832477,0.0780585781,47.9419289,219.91862488,0.9908486,3.3348253,0.7134946585,9.812212,5.254
7.550632,0.5635190606,0.2844066918,1.4514579773,0.5217271447,0.1004837081,55.8685455,124.69320679,0.9936513,3.1389194,0.4873663783,9.627428,5.116
6.092103,0.0026318838,0.2272412181,2.1017742157,0.3934224844,0.0357130915,41.4798203,18.87480545,0.9979292,3.2408488,0.7030807734,8.755435,5.976
