Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
52207.627,1343.1711,204.10101,283.77204,0.76365676,0.90364882,154258.532776,137.56836,0.70716925,1.0040003,1.0914023,0.5927688,0.00292924,0.000632572,0.5313378,0.9956558,CALI
144518.256,983.64117,253.48583,346.85173,1.47509585,0.84924409,149158.521575,72.69896,0.7416061,0.9950142,0.8372916,0.8296981,0.009265859,0.0007411491,0.8163335,0.986302,CALI
13108.204,1438.88273,428.27452,330.69156,2.05501415,0.7181832,141722.95705,171.01817,0.88164521,0.9794135,0.9513241,0.8999781,0.005624773,0.0008645909,0.8424113,0.9837116,CALI
2012.672,1228.62817,591.42548,334.74787,1.45908379,0.63595967,145524.596466,132.78922,0.94489489,0.9769971,0.8822296,1.0593159,0.005267781,0.0014383234,0.4742549,0.9850731,CALI
140618.01,1376.50827,160.21661,342.1143,1.73574048,0.47196433,111878.471891,437.88464,0.63455494,0.9826661,0.9167741,0.6444833,0.005409185,0.0036570495,0.5644116,0.9996025,CALI
140937.541,1025.52416,498.46144,209.73797,1.72926829,0.48693258,146462.297414,266.72395,0.59582106,0.9720703,0.7026701,0.7383159,0.003217347,0.0015523013,0.3770746,0.9936086,CALI
18202.447,1207.27104,498.73165,336.98747,0.90447862,0.5953295,142554.802027,427.32044,0.8338629,0.9994491,0.7560199,0.9745098,0.005874025,0.0020527086,0.9739749,1.0075047,CALI
111535.238,1350.00789,479.07907,352.07281,1.28339659,0.99980059,158316.919267,394.22214,0.76821229,0.980482,1.0482374,0.8193232,0.006895229,0.0021115643,0.7226472,0.9964347,CALI
145940.245,232.40688,390.11635,300.42596,1.4630465,0.96720252,135308.395029,431.72114,0.85464447,1.0040732,0.719542,0.9365075,0.005319415,0.0012733059,0.5976946,0.997508,CALI
148056.697,1349.88307,375.5051,332.75905,1.00251137,0.89038783,13005.767651,56.12926,0.87643742,0.9948782,0.8673808,0.9377863,0.006136497,0.0002989146,0.6250451,0.9849127,CALI
53800.438,1355.14526,494.58871,343.10943,1.76962351,0.76120754,127445.464344,401.40041,0.80048327,0.9845728,0.7871412,1.0579264,0.003663068,0.001376424,0.9120302,1.001083,CALI
146403.457,1533.24221,655.96712,314.26146,2.02461143,0.87869661,11392.411,196.72014,0.7572291,0.9865717,1.0598459,1.0314959,0.003509211,0.0012358435,0.7754797,0.9990416,CALI
84687.518,1320.80448,479.47702,327.35316,0.86956471,0.66204854,69572.826425,323.61964,0.67855452,0.9789028,0.9711014,0.7414077,0.002985684,0.0009571396,1.0118488,0.9892775,CALI
50480.059,1443.72817,546.15273,312.85397,0.86332125,0.86602769,153079.708867,416.44523,0.83445632,0.9965096,0.6467106,0.9318384,0.008523835,0.0014003568,0.5631067,0.9912091,CALI
70526.96,1304.36415,436.50975,310.91594,0.97480553,0.608818,103578.608872,392.67254,0.84488924,0.9946701,0.9849613,0.9770242,0.002824858,0.000727856,0.556553,1.0099871,CALI
132416.983,1462.79618,633.40911,316.42153,1.91478126,1.10053619,115008.928406,393.97241,0.81350187,1.0015802,1.0471289,0.7493834,0.007846854,0.0010976763,0.5925507,1.0085547,CALI
76539.363,1363.61039,549.43696,29.83613,1.54038318,0.50262348,155354.486916,109.64605,0.60229836,0.9959836,1.0860584,0.9601917,0.0033134,0.0024505731,0.5278094,1.0053075,CALI
150995.144,1432.86195,397.93275,137.59428,1.6866716,0.67088693,132344.418265,311.12948,0.88749688,1.0038561,0.9507222,0.9126679,0.002565888,0.0016898985,0.3494936,1.0007632,CALI
41904.416,1532.79235,378.44732,345.86367,1.25448802,1.07481874,74565.68249,184.85577,0.75379536,0.9919322,0.9780879,0.9462248,0.005572347,0.000453382,0.6982076,0.9964357,CALI
109484.477,1548.74111,9.51213,98.86442,0.88842466,0.80635957,92006.444012,462.93298,0.88284285,0.9775956,0.6419131,0.7309203,0.003856594,0.0010908543,0.3401296,0.9969486,CALI
59293.1,1461.44384,374.49748,325.73485,1.93016119,0.59666252,7703.009139,416.47117,0.61064551,0.9808954,0.8174769,0.9697271,0.003058157,0.001647792,1.0003008,1.0025142,CALI
38396.705,1402.88308,362.23957,339.90052,1.59986444,0.61331023,105957.284486,212.19666,0.62766371,0.9996927,1.0650934,0.5917975,0.005074905,0.0015921221,0.83175,0.9820913,CALI
110125.679,1453.23418,419.49607,264.97605,0.70020344,0.55897092,22040.10897,424.34576,0.70241186,0.99633,0.9012453,0.5763066,0.003864363,0.0017172876,0.5416896,0.9901767,CALI
71632.125,1441.4561,350.82433,313.85977,1.01534128,0.80581396,54801.713136,400.71813,0.61635958,0.9817837,0.9130428,0.7927376,0.005846332,0.0017795655,0.8163782,1.0018858,CALI
97714.08,1396.66895,387.70723,232.94621,0.75149114,0.48205486,144169.582581,405.60106,0.89659467,1.0020568,0.9162946,0.8888262,0.009260347,0.0005641264,0.6392214,0.9988616,CALI
119013.262,1521.06974,660.20366,132.66853,0.94630018,0.67391225,156073.108246,394.35229,0.75949852,0.9904686,1.0206839,0.6208477,0.008787841,0.0004396363,0.7347792,0.9997652,CALI
90430.046,496.89017,382.08328,130.76703,1.25773786,0.96143381,139230.282704,431.011,0.73096318,0.9702665,0.7518552,0.9451707,0.002914484,0.0009130432,0.5382715,0.9875294,CALI
59802.729,1304.09252,445.28193,337.89351,1.59581502,0.96443592,146958.314314,236.17435,0.83117044,0.9899818,0.6831035,0.5346339,0.003091174,0.0001430094,0.7067108,0.9920816,CALI
131529.628,1543.72017,137.33108,336.58998,0.7908046,0.77233528,136939.39647,322.42798,0.93135098,0.9959597,0.9984179,0.8756657,0.007626183,0.0014762059,0.6618848,0.9917402,CALI
97520.509,578.81165,583.76392,332.72944,2.13508238,0.60500422,97358.523338,441.98614,0.91544162,0.985586,0.742179,0.7867022,0.003429381,0.0010960575,0.3401296,0.9810695,CALI
139196.763,1446.00151,225.85894,291.18673,2.09784655,1.04271311,148305.446242,79.55506,0.81403722,0.9955816,0.7777872,0.7814699,0.002459164,0.0016272244,0.8314972,0.9973229,CALI
