sepal_length,sepal_width,petal_length,petal_width,class
5.3377961,2.6426621,3.9011341,0.6050581,Iris-versicolor
6.3617192,3.0211899,5.2965926,0.7834439,Iris-virginica
5.8760716,2.3105543,5.4837684,0.6765865,Iris-setosa
5.6594087,3.0064913,2.5526066,0.6892554,Iris-setosa
5.1079786,3.0105769,3.9830674,0.6124108,Iris-setosa
6.4467759,3.4703202,2.5303003,1.8580809,Iris-setosa
5.059676,3.190515,2.483441,1.4907638,Iris-setosa
5.2866789,2.2715367,2.5452648,1.9351191,Iris-setosa
5.184704,3.3119418,2.5620666,1.7566728,Iris-setosa
5.2283339,2.7957512,2.6448259,0.6050581,Iris-setosa
5.7650322,2.6870152,5.8600743,0.6322032,Iris-setosa
5.4104524,2.4606481,2.5876908,1.8057648,Iris-setosa
5.3900337,2.9176299,5.4079702,0.6734387,Iris-setosa
5.4259525,2.658836,2.6869159,0.6708278,Iris-setosa
5.1764881,2.9408047,2.5418678,1.8372517,Iris-setosa
5.1779343,2.9635457,3.6607117,0.638982,Iris-setosa
5.5377069,2.8245706,2.4726343,0.6468462,Iris-setosa
5.4983511,3.0440271,5.4343913,0.6653482,Iris-setosa
5.4126996,2.9882003,5.323072,0.6843781,Iris-setosa
5.5302017,2.8653227,5.3781365,0.6894702,Iris-setosa
5.2877458,2.8540641,2.7009804,0.6367705,Iris-setosa
6.1736092,2.5532551,5.2186308,0.6558279,Iris-setosa
5.9948388,3.094126,2.4961801,1.7365012,Iris-setosa
6.4930721,2.4400205,2.5420966,0.7247998,Iris-setosa
5.8305469,2.6587082,2.4741545,1.8427975,Iris-setosa
6.3534244,2.3732381,2.5954531,1.9236062,Iris-setosa
5.1095234,3.1303609,3.3959431,0.6449182,Iris-setosa
4.9576306,2.7685939,4.145909,0.6713355,Iris-setosa
5.3436545,2.3539515,2.7294824,0.6301906,Iris-setosa
4.9329957,2.9895993,2.4929191,1.3354125,Iris-setosa
5.1427562,2.8107678,4.2742427,0.6080038,Iris-setosa
5.9666883,2.8467499,2.5252353,1.7785941,Iris-setosa
5.2552104,2.8932892,2.5531873,1.894175,Iris-setosa
5.0933413,2.6395984,2.5943715,1.8557018,Iris-setosa
5.6188445,2.7003955,5.0195249,0.6062909,Iris-setosa
5.2282489,2.9101907,3.4311946,0.6522507,Iris-setosa
4.9847386,2.7666422,4.385226,0.6981602,Iris-setosa
6.1133852,2.625613,2.5116614,1.9198092,Iris-setosa
5.3216469,2.8625901,3.1150323,0.6765055,Iris-setosa
5.0415491,2.7168573,4.8749265,0.6966519,Iris-setosa
6.1092123,3.0693402,2.5680984,0.749659,Iris-setosa
4.9182034,3.0462197,4.7763676,0.6836694,Iris-setosa
5.3572867,3.0382064,4.184127,0.6789733,Iris-setosa
5.4570618,2.9391142,5.4860154,0.6860325,Iris-setosa
5.25523,3.0692537,5.484559,0.6693221,Iris-setosa
5.3064378,3.0291354,4.4755286,0.6725776,Iris-setosa
5.9096766,2.6301168,4.9968603,0.6214491,Iris-setosa
5.3837764,2.4799007,2.6346397,0.6632228,Iris-setosa
5.3935431,2.9980179,2.8568474,0.6676516,Iris-setosa
5.0848596,2.8603479,3.7380268,0.6381793,Iris-setosa
4.7149229,2.2616007,2.4744523,1.5727253,Iris-setosa
5.2493856,2.491962,4.9793755,0.6719669,Iris-setosa
6.079977,3.066243,2.5960465,1.9223574,Iris-setosa
4.9422255,2.5969537,2.5787375,1.9541042,Iris-setosa
4.9829081,3.1228305,4.7491209,0.6931117,Iris-setosa
5.8344085,2.6153125,4.9752342,0.6238326,Iris-setosa
5.3649609,2.7006287,4.9159336,0.6844544,Iris-setosa
5.2088096,2.8155804,2.4921819,1.8071256,Iris-setosa
4.8306549,3.18144,2.4923683,1.3742887,Iris-setosa
5.0445529,2.9165744,2.4938423,1.1434491,Iris-setosa
5.9602915,2.5433118,5.2540279,0.6696866,Iris-setosa
5.0810005,2.8992771,2.4768687,1.1692374,Iris-setosa
5.6197212,2.5382837,5.1487177,0.6945893,Iris-setosa
5.9391072,2.7359282,5.1566849,0.6954109,Iris-setosa
5.742669,2.9629842,5.0095175,0.6930712,Iris-setosa
5.390012,3.1596488,3.8185227,0.6288014,Iris-setosa
5.0895347,2.6720533,3.8396198,0.6370527,Iris-setosa
6.2863724,2.4291256,4.9990219,0.6060471,Iris-setosa
6.3492091,2.8857406,2.482995,0.6624018,Iris-setosa
5.0618826,2.5541093,2.531222,0.6558593,Iris-setosa
5.5711272,2.941006,5.035903,0.6259084,Iris-setosa
4.9825224,2.7623645,3.7441189,0.6211105,Iris-setosa
5.4345693,3.404231,2.4997796,1.9296458,Iris-setosa
5.4564206,3.3009809,5.65074,0.6555905,Iris-setosa
5.4137823,3.1057592,3.8488295,0.6873274,Iris-setosa
5.4404897,2.8232842,3.4891546,0.6443808,Iris-setosa
6.4393598,2.5882631,2.5167899,1.9330361,Iris-setosa
5.353848,3.2285517,2.4903126,1.7502211,Iris-setosa
4.9162872,2.7591458,2.5612578,1.8553516,Iris-setosa
6.5025825,2.5978869,5.2076191,0.6803521,Iris-setosa
5.1262097,3.2426424,2.4907536,1.2371303,Iris-setosa
5.3064789,3.1795886,2.8525478,0.6952479,Iris-setosa
5.5201424,2.6432184,5.6161353,0.6921435,Iris-setosa
5.1263754,2.8913224,2.5672471,0.6632446,Iris-setosa
6.0439373,3.0855082,2.4861466,1.7460322,Iris-setosa
4.9966982,3.3000697,3.8026163,0.6840947,Iris-setosa
5.3569414,2.9032386,3.4335041,0.6606035,Iris-setosa
5.2943755,2.982766,4.7043146,0.6855986,Iris-setosa
5.0304798,2.9055087,4.9369589,0.6723633,Iris-setosa
5.8063414,2.9036027,5.5810445,0.6459802,Iris-setosa
4.680572,2.8906961,2.493961,1.6647313,Iris-setosa
4.7864379,3.2867176,2.4739738,0.9952978,Iris-setosa
6.5173081,2.5013172,2.5396887,1.8716829,Iris-setosa
5.1399372,3.3831158,2.4810585,1.1570318,Iris-setosa
4.858646,3.080311,3.6121057,0.6889621,Iris-setosa
5.9129088,2.7042672,5.3593919,0.6846923,Iris-setosa
5.1304267,3.102054,2.4780017,1.6244388,Iris-setosa
5.662417,2.5387699,2.5804392,0.6952319,Iris-setosa
5.511092,2.7991378,2.48494,1.7947926,Iris-setosa
6.5145068,3.0021011,2.57847,0.6165274,Iris-setosa
5.2733616,2.9114342,4.0118362,0.619778,Iris-setosa
4.9822732,2.6576135,2.5231718,1.9123361,Iris-setosa
5.7449421,2.9208157,2.4919241,0.740712,Iris-setosa
5.199472,3.0575203,4.6969577,0.6681726,Iris-setosa
