age,fnlwgt,capital-gain,capital-loss,hours-per-week,education-num,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
54.96115,407231.68,10104.9927,262.11601,63.945749,9.091957, Local-gov, Some-college, Divorced, Handlers-cleaners, Own-child, Other, Female, Germany,50K-
30.362199,359497.19,7199.0936,678.69099,62.625235,8.502977, Private, 10th, Separated, Other-service, Own-child, White, Male, Germany,50K-
0.765561,59.14,1.6687,0.03871,2.714522,14.23921, Self-emp-not-inc, 10th, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male, United-States,50K-
0.765561,59.14,15800.5774,704.45021,66.104765,15.50373, ?, 10th, Married-civ-spouse, Tech-support, Own-child, White, Male, United-States,50K-
73.827623,304319.22,12715.3522,68.77168,21.973945,10.351104, Private, Assoc-voc, Widowed, Handlers-cleaners, Wife, Black, Male, United-States,50K-
41.790306,182804.35,835.3307,427.81997,14.727211,6.248548, Self-emp-inc, Some-college, Separated, Craft-repair, Own-child, Black, Male, Germany,50K-
34.727957,179562.27,8616.4452,46.36096,48.884313,6.519845, Federal-gov, Some-college, Never-married, Priv-house-serv, Unmarried, Black, Male, Germany,50K-
24.366623,451698.41,8333.2726,64.79178,41.903692,10.486727, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Husband, Black, Female, Germany,50K-
12.205352,576133.81,1.6687,907.33274,77.398814,10.521169, Local-gov, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States,50K-
44.399167,12051.89,7268.1357,636.61491,4.80131,7.398711, Local-gov, HS-grad, Separated, Sales, Unmarried, White, Male, United-States,50K-
44.558525,250814.79,4554.3042,1009.81819,48.940444,9.305844, Private, 10th, Divorced, Prof-specialty, Own-child, Black, Male, United-States,50K-
38.116631,406565.54,7701.3041,589.32006,74.464755,9.997687, Self-emp-not-inc, 10th, Divorced, Other-service, Own-child, Asian-Pac-Islander, Male, United-States,50K-
0.765561,59.14,13349.1103,0.03871,25.470111,11.092879, Federal-gov, 7th-8th, Divorced, Tech-support, Wife, Black, Male, United-States,50K-
21.817577,254588.89,8738.3538,1207.32123,23.917413,10.0737, ?, HS-grad, Widowed, Handlers-cleaners, Wife, Black, Male, United-States,50K-
34.405485,240964.25,16839.837,123.07353,15.061944,13.457766, Federal-gov, Assoc-acdm, Never-married, Other-service, Own-child, White, Male, United-States,50K-
65.474167,162038.99,1628.215,882.39362,28.599619,6.126907, ?, Some-college, Separated, Priv-house-serv, Unmarried, Black, Male, United-States,50K-
0.765561,59.14,499.7092,0.03871,42.43931,5.276262, ?, Assoc-voc, Never-married, Exec-managerial, Unmarried, White, Female, United-States,50K-
43.334659,346316.74,9575.934,829.69973,29.472733,10.307783, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Female, United-States,50K-
77.01652,347496.02,13322.3567,881.9646,17.923479,6.222224, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Wife, White, Male, United-States,50K-
37.327204,403491.05,16378.9118,654.64011,60.903037,5.071357, ?, HS-grad, Widowed, Farming-fishing, Own-child, Asian-Pac-Islander, Male, United-States,50K-
0.765561,59.14,2831.0215,0.03871,15.022462,11.271352, ?, 7th-8th, Never-married, Other-service, Not-in-family, Other, Male, United-States,50K-
82.201937,444369.7,9303.6579,622.59213,8.094717,9.678167, State-gov, HS-grad, Separated, Sales, Own-child, Asian-Pac-Islander, Female, United-States,50K-
38.750586,509652.63,5884.217,101.45509,31.597805,8.332339, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male, United-States,50K-
45.533166,134794.97,2892.4122,1010.10588,71.961699,7.663636, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Female, Germany,50K-
20.620418,59.14,5620.118,177.90154,28.566148,11.356251, Private, Assoc-voc, Never-married, ?, Unmarried, White, Male, United-States,50K-
39.788375,378507.24,3683.823,74.46076,25.187197,7.974871, State-gov, HS-grad, Divorced, Machine-op-inspct, Own-child, Black, Female, United-States,50K-
0.765561,392567.04,15825.5677,0.03871,24.823104,8.853808, Self-emp-not-inc, 7th-8th, Divorced, Prof-specialty, Own-child, Black, Male, United-States,50K-
50.417237,203573.03,20646.8796,302.36749,47.391363,6.687561, Self-emp-not-inc, 7th-8th, Separated, Exec-managerial, Husband, Black, Female, Germany,50K-
76.251119,77749.6,21447.4693,1142.1583,66.868648,13.587104, Self-emp-inc, Assoc-voc, Separated, Exec-managerial, Own-child, Other, Male, Germany,50K-
0.815458,59.14,8368.0484,0.03871,2.714522,8.787356, State-gov, 10th, Never-married, Adm-clerical, Wife, Asian-Pac-Islander, Female, United-States,50K-
0.765561,267227.76,1.6687,895.22881,2.714522,3.816944, Self-emp-not-inc, 7th-8th, Widowed, Machine-op-inspct, Husband, Black, Female, United-States,50K-
38.881319,556333.75,5073.4165,774.93769,59.089045,12.019753, Private, 10th, Divorced, Priv-house-serv, Husband, Other, Male, United-States,50K-
45.661047,411312.95,1.6687,1020.23163,35.724959,9.282996, State-gov, Assoc-voc, Never-married, Other-service, Own-child, Black, Female, United-States,50K-
58.622558,192257.24,10238.3152,10.63948,27.102524,9.897893, Self-emp-inc, HS-grad, Never-married, ?, Unmarried, Black, Male, Germany,50K-
40.125315,193661.86,16021.1496,462.53205,41.265515,14.974736, Self-emp-inc, 7th-8th, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male, United-States,50K-
73.572967,5438.26,10066.9598,187.33965,72.970889,15.874089, State-gov, HS-grad, Widowed, Transport-moving, Wife, White, Male, United-States,50K-
33.4356,405218.53,103.2874,244.77827,66.332637,15.893413, Self-emp-inc, Assoc-acdm, Divorced, Priv-house-serv, Husband, Black, Male, United-States,50K-
