Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
112340.92,1331.21997,296.92792,310.46488,1.1954332,0.51459748,108678.85,213.08592,0.710983,0.9709208,0.8476711,0.924278,0.0068236666,0.0016198086,0.8569651,0.9899513,SEKER
125183.66,1299.93723,377.36136,321.76172,1.2098142,0.57687536,109669.07,240.82429,0.6701069,0.9881125,0.7393521,0.960805,0.0064290852,0.0017911633,0.7009437,0.9900628,SEKER
125121.82,1294.00317,251.15221,331.8996,1.0739201,0.53345432,80838.38,214.88663,0.7858805,0.9838184,0.7494144,1.03034,0.0049381469,0.0016917815,0.8205696,0.9844665,SEKER
118572.19,1266.0006,406.27768,330.50479,1.0531224,0.47036632,43614.87,234.76065,0.7320999,0.9765786,0.7406559,0.951568,0.0052057369,0.0015306845,0.7295327,0.9909285,SEKER
125640.87,1330.56195,395.69004,293.51147,1.0020027,0.66256385,106694.02,305.70385,0.7213357,1.0005602,0.8566492,0.966336,0.0047968795,0.0018867505,0.7773634,0.9851212,SEKER
117664.87,1343.14485,403.27142,295.56827,1.0435653,0.57922972,99234.84,270.79777,0.6609975,0.9786771,0.808336,0.98666,0.0051406326,0.0018992721,0.7912419,0.9830345,SEKER
85176.58,1182.40345,63.46666,330.37674,1.0249637,0.49775304,102246.57,100.60612,0.6560054,0.9893844,0.7389094,0.97911,0.0047743981,0.0015014944,0.8451753,0.9830298,SEKER
103204.58,1326.57155,420.84543,325.13452,1.2359626,0.5520551,100503.59,128.01303,0.6805918,0.9838612,0.8374164,1.02233,0.0065980299,0.001644055,0.9473057,0.9881076,SEKER
105269.43,1154.78688,370.90228,325.24644,1.2532202,0.64656668,105099.41,169.16934,0.7081107,0.9920595,0.7728065,1.012582,0.0050141055,0.0017807637,0.9463188,0.985716,SEKER
121543.77,1314.88637,317.9671,323.82359,1.1733803,0.62552631,116466.18,211.28749,0.6989286,0.9991559,0.9802137,1.034264,0.0060872161,0.0015923643,0.777424,0.9950654,SEKER
125335.33,1329.46049,348.79579,314.21947,1.1214609,0.64294741,83160.11,155.93783,0.6879778,0.9725647,0.9856356,1.034037,0.0040383852,0.001896719,0.9533396,0.9870388,SEKER
122241.1,1298.14484,415.90685,287.73949,1.0145686,0.4719259,109634.63,131.83477,0.8878361,0.9739909,0.77002,0.921013,0.0041623386,0.0018106677,0.6425885,0.9899942,SEKER
117591.81,1300.06826,347.1996,299.87051,1.1989545,0.45156552,106684.12,254.2188,0.7672224,0.9732988,0.7932665,0.946759,0.0061972661,0.0017637543,0.9367918,0.9833725,SEKER
