fixed acidity,volatile acidity,citric acid,residual sugar,is_red,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.055912,0.6524685,0.1514834,1.1908526,0.93415505,0.05333773,6.043451786,67.32259,0.99549371,3.2454684,0.66626126,9.623003,5.351196929885068
7.289004,0.62466276,0.1606516,0.7149529,0.86398065,0.047911871,5.077438831,23.39527,0.99396044,3.1582918,0.62438548,9.466746,5.345579878749183
7.84449,0.53285033,0.2012032,3.0764263,1.02941763,0.057976052,4.550576687,99.35371,0.99681675,3.1775928,0.59837502,9.248273,5.110771726208494
7.972677,0.43141747,0.315718,0.3215843,1.16827261,0.052988965,5.134959698,83.23005,0.98700088,3.2497962,0.6000278,9.197584,5.075414387863251
7.974224,0.54326534,0.2507809,1.6813709,0.80215102,0.045714565,8.374333382,59.60122,0.98915756,3.3156128,0.54909235,8.77556,5.065872838554986
7.623362,0.36253387,0.0051408,3.5710216,1.01760781,0.071007214,7.565326214,47.39783,0.99773395,3.2708895,0.61473095,9.588151,5.498160319358987
9.155419,0.54275078,0.0904143,0.0296709,0.99682826,0.052175302,10.036053658,42.37165,0.99912047,3.1792779,0.6326369,8.981035,5.181071416785414
8.178481,0.50935441,0.3682845,1.2694542,0.9458102,0.058415931,3.154151201,38.22397,0.9972499,3.2301426,0.56802654,9.879655,5.12135431716128
8.476006,0.47310379,0.3721239,3.873446,1.03954887,0.05202971,1.455552459,34.63561,0.98971385,3.2971969,0.51355433,9.866939,5.169233613022176
8.216744,0.5193699,0.2301821,1.2040699,1.02038252,0.032344852,9.627376556,65.94717,0.99087852,3.2483559,0.49569157,9.15589,5.020051490525416
7.114428,0.51327056,0.3867528,1.3521928,1.06538272,0.069742702,5.526982307,41.95315,0.99678093,3.3062341,0.68024218,9.283766,5.072625546295565
6.074584,0.42738423,0.0767893,1.5162057,0.88200969,0.048771348,0.017258994,13.33545,0.99056798,3.2439463,0.60382158,9.344825,5.5091929108435655
