age,fnlwgt,capital-gain,capital-loss,hours-per-week,education-num,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
0.138063,377185.74,1015.4834,65.53309,12.312894,7.68646, Self-emp-inc, Some-college, Married-civ-spouse, ?, Wife, Black, Female, Philippines,50K-
0.138063,349921.84,18504.258,0.00884,18.80116,12.48496, Self-emp-not-inc, HS-grad, Separated, Priv-house-serv, Not-in-family, White, Male, United-States,50K-
86.975719,262755.21,20812.2743,385.02454,65.099056,6.52451, Federal-gov, Some-college, Never-married, Farming-fishing, Own-child, Other, Male, Vietnam,50K-
0.138063,10027.0,21443.6546,878.9538,0.173129,10.78435, Self-emp-not-inc, Doctorate, Never-married, Farming-fishing, Own-child, Black, Male, India,50K-
31.407017,107888.09,1247.9307,389.40096,52.910901,14.47661, Local-gov, Some-college, Separated, Other-service, Unmarried, Black, Female, Philippines,50K-
27.953797,495110.68,13348.7018,0.00884,84.100245,7.87222, Self-emp-not-inc, Doctorate, Divorced, Machine-op-inspct, Own-child, Black, Female, India,50K-
0.138063,122658.8,1015.4834,0.00884,0.173129,9.34749, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Male, United-States,50K-
3.642549,258909.34,6682.5534,1010.5279,21.320944,9.48119, Private, Bachelors, Divorced, Sales, Other-relative, White, Female, Vietnam,50K-
47.272062,33678.25,9093.4344,452.33717,17.281306,11.19828, ?, HS-grad, Widowed, Machine-op-inspct, Other-relative, White, Female, United-States,50K-
0.138063,2.32,1015.4834,0.00884,13.447133,12.32054, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female, Vietnam,50K-
0.138063,2.32,1015.4834,440.77644,0.173129,14.82241, Federal-gov, Masters, Married-civ-spouse, Other-service, Unmarried, Black, Male, Vietnam,50K-
0.138063,2.32,1015.4834,0.00884,0.173129,15.40051, Self-emp-not-inc, Doctorate, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male, Philippines,50K-
0.138063,2.32,4296.9199,372.98234,61.273523,4.55487, State-gov, Assoc-voc, Widowed, Transport-moving, Wife, Other, Male, Philippines,50K-
69.96254,576819.83,8302.5871,664.27024,39.03452,5.7984, State-gov, Bachelors, Never-married, Farming-fishing, Wife, Other, Male, United-States,50K-
30.602544,389513.11,20181.0339,538.40144,52.41201,8.36539, Self-emp-not-inc, Assoc-voc, Separated, Sales, Unmarried, Amer-Indian-Eskimo, Male, United-States,50K-
0.138063,2.32,3181.1337,635.75187,80.33172,5.30069, Self-emp-not-inc, 10th, Never-married, Tech-support, Husband, Other, Male, India,50K-
0.138063,2.32,1015.4834,1088.38445,0.173129,8.46182, Local-gov, Some-college, Separated, Transport-moving, Own-child, White, Female, Philippines,50K-
39.875595,59432.27,1015.4834,174.1619,17.995188,17.48369, ?, Masters, Widowed, Tech-support, Not-in-family, Other, Male, India,50K-
80.983277,300117.25,3217.6712,945.66393,1.796913,8.42779, State-gov, Masters, Separated, Craft-repair, Husband, Black, Male, Vietnam,50K-
0.138063,2.32,8675.0153,0.00884,40.72708,9.8507, Self-emp-not-inc, Masters, Widowed, Farming-fishing, Not-in-family, Other, Male, United-States,50K-
58.693798,245807.38,23485.2196,30.32193,38.046871,12.36689, Self-emp-not-inc, Assoc-voc, Never-married, Exec-managerial, Other-relative, White, Female, Philippines,50K-
29.47391,496925.32,21772.7396,204.38041,45.92374,15.3322, Self-emp-not-inc, Assoc-voc, Separated, Other-service, Unmarried, Other, Female, India,50K-
25.183322,2.32,9657.0703,803.59643,59.00496,7.21479, Private, Bachelors, Separated, Transport-moving, Wife, Other, Male, India,50K-
0.138063,2.32,1015.4834,0.00884,51.484641,6.83312, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male, Vietnam,50K-
62.962482,212809.38,1656.8733,706.48347,6.680606,15.21452, Local-gov, Bachelors, Separated, Prof-specialty, Husband, Other, Female, India,50K-
13.145488,428041.9,23463.9009,1004.06828,6.294106,8.62275, Local-gov, Masters, Widowed, Transport-moving, Husband, Amer-Indian-Eskimo, Male, United-States,50K-
0.138063,2.32,1015.4834,102.16001,0.173129,9.86513, Self-emp-inc, Assoc-voc, Separated, Other-service, Not-in-family, Other, Male, India,50K-
87.209573,457578.26,14837.4941,237.95148,1.386825,12.36282, Private, HS-grad, Separated, ?, Not-in-family, Amer-Indian-Eskimo, Male, Vietnam,50K-
5.910308,38551.7,1015.4834,1116.75937,0.173129,18.86764, State-gov, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female, Vietnam,50K-
88.326738,484443.76,3373.2503,333.52569,63.897554,12.18885, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Other-relative, Amer-Indian-Eskimo, Female, United-States,50K-
53.77567,25424.91,3691.5588,183.7125,58.943035,18.4328, Self-emp-inc, Doctorate, Widowed, Sales, Other-relative, Amer-Indian-Eskimo, Male, United-States,50K-
83.961904,44513.94,2200.117,276.06735,80.972127,7.21352, Private, HS-grad, Divorced, ?, Not-in-family, White, Female, India,50K-
17.253052,154144.72,15822.3203,0.00884,64.955053,15.04543, Private, Masters, Widowed, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male, India,50K-
0.138063,2.32,1015.4834,0.00884,41.194587,3.32184, ?, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, Vietnam,50K-
0.138063,2.32,1015.4834,0.00884,0.173129,13.59826, Self-emp-inc, Masters, Never-married, Priv-house-serv, Not-in-family, Amer-Indian-Eskimo, Male, United-States,50K-
15.212396,2.32,1015.4834,0.00884,0.173129,6.78437, ?, Some-college, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male, Philippines,50K-
0.138063,189685.84,1015.4834,0.00884,0.173129,0.89547, Self-emp-inc, 10th, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female, United-States,50K-
3.661386,2.32,1702.2959,107.00772,42.195974,17.45217, Private, Masters, Separated, Transport-moving, Wife, Black, Female, Philippines,50K-
0.138063,2.32,1015.4834,0.00884,0.173129,0.89547, ?, 10th, Separated, Other-service, Husband, Black, Male, Vietnam,50K-
37.038271,70619.96,7051.1257,1077.89397,85.690622,4.66294, Self-emp-not-inc, Assoc-voc, Separated, Machine-op-inspct, Husband, Other, Male, United-States,50K-
39.275554,49135.84,6754.9352,570.92835,57.599877,11.15146, Federal-gov, 10th, Divorced, Machine-op-inspct, Other-relative, Black, Male, United-States,50K-
27.522867,2.32,9016.8886,0.00884,66.145137,10.00396, State-gov, Assoc-voc, Never-married, Priv-house-serv, Own-child, Black, Female, United-States,50K-
84.086918,165683.19,22965.5296,395.32929,49.885561,6.02039, Federal-gov, Masters, Separated, Machine-op-inspct, Other-relative, Black, Male, United-States,50K-
