Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
126428.967,1076.33724,318.96843,305.2023,1.8865015,0.7921223,66222.61,406.13382,0.8129408,0.9790292,0.85948407,0.75749353,0.0036483105,0.0010350294,0.702973,0.99569645,CALI
53446.53,1410.54666,249.71769,317.2516,1.4959066,0.7043172,113359.04,285.58735,0.7175962,0.9829397,0.98717178,0.72905833,0.0060819332,0.0015023145,0.5387561,1.00291929,CALI
28484.362,1342.10151,595.42489,323.4136,2.097942,0.8698299,77454.06,302.13009,0.7821137,0.9856905,0.77448351,0.81519105,0.0034848248,0.0010402471,0.6719784,0.99943548,CALI
118461.675,884.85466,380.74602,256.5076,1.6539338,0.6531932,134971.81,358.83825,0.7151284,0.984195,0.96296442,0.83999247,0.0039185389,0.0008294827,0.5516409,0.98724714,CALI
125102.859,1407.30727,313.91597,319.0164,1.7092052,0.9894154,36811.21,322.88658,0.6768618,0.9966206,0.82242489,0.78495912,0.0084542235,0.001017453,0.6730483,0.98357762,CALI
25395.072,1320.65187,569.54162,317.9402,2.0866251,0.8440711,124362.02,385.67513,0.8052462,0.9944568,0.75887999,0.8142102,0.0077789694,0.0003427015,0.626762,1.00533675,CALI
126794.451,1264.1506,497.5711,321.7587,1.6155536,0.6275036,132093.55,260.0733,0.6970303,0.9878244,0.84145578,0.76100686,0.0044736621,0.001146282,0.5262279,1.00412039,CALI
123920.058,1162.2216,361.49878,314.8114,1.7724146,0.6149905,64972.55,379.89842,0.7619542,0.9988979,0.94648254,0.84461976,0.0029609913,0.0016107914,0.4993413,1.00438828,CALI
87767.839,1363.23526,232.48662,315.7308,1.9637205,0.8650696,130289.43,384.98794,0.7767168,0.9731194,0.94026372,0.66893451,0.0039570314,0.0012241359,0.7103097,1.00476829,CALI
119214.704,951.11377,509.91273,320.7715,1.3310727,0.5830139,130598.74,277.98598,0.667738,0.9781091,0.75305283,0.86352358,0.0047654948,0.0010899621,0.535369,1.00453584,CALI
62728.546,1339.42508,513.8721,233.2393,1.7908522,0.5978063,94764.75,387.75517,0.7176218,0.9965924,0.94637425,0.83147335,0.0032639579,0.0017234835,0.6248632,1.00638979,CALI
36061.22,1025.217,223.42359,315.8907,1.6571492,0.8523669,134168.28,402.59167,0.8274276,0.9736199,0.7718313,0.86253627,0.0064362281,0.0012112794,0.6536024,0.98372908,CALI
118414.124,806.93513,520.23343,314.9536,1.6159445,0.9169482,69326.59,303.38886,0.6628665,0.9919014,0.82388355,0.7760305,0.0031335939,0.0007139604,0.6597631,0.98008842,CALI
124939.846,1389.2741,524.99784,231.7239,1.759895,0.5898727,129477.46,357.36889,0.8248302,0.9947671,0.88956235,0.80636407,0.0037952519,0.0008106331,0.4659473,1.000584,CALI
89817.303,1157.21124,295.78299,322.3155,2.0751956,0.8111064,49794.15,405.22195,0.7410277,0.9828445,0.89922491,0.74335046,0.0040495207,0.0012216113,0.7258823,0.99256917,CALI
121786.736,923.68174,424.39943,324.7772,2.0263633,0.96259,14536.09,258.62445,0.69178,0.9745452,0.90274551,0.85837948,0.0035126991,0.0008339787,0.6521551,0.99774455,CALI
59183.126,1417.61964,566.19722,249.2642,1.8513262,0.5646486,130661.84,393.12405,0.7253926,0.9941512,0.74711798,0.77265221,0.0071310741,0.0012643358,0.6502411,0.97975844,CALI
106506.468,1372.11854,405.40454,321.5222,1.7752209,0.8823524,134364.95,243.34558,0.6934492,0.9751187,0.77366574,0.69948428,0.0041061287,0.0014505554,0.7481169,0.97995951,CALI
127019.95,1171.07469,515.91056,305.861,1.5844443,0.8689369,54422.33,376.54631,0.765819,0.9973527,0.8558976,0.8176931,0.0029331573,0.0012656249,0.7369624,0.99261178,CALI
120187.681,666.64393,582.33292,238.5311,1.5034572,0.6614694,120161.27,311.15884,0.6941551,0.978277,0.78726606,0.77169531,0.0036373318,0.0010588752,0.6767747,1.00175047,CALI
116263.675,896.51664,571.26768,241.4985,1.7491096,0.763245,131460.28,397.03642,0.73461,0.9794033,0.95023688,0.63444137,0.0034156989,0.0015451003,0.7053272,0.98092719,CALI
52054.328,555.52135,568.89731,322.3961,1.3768948,0.6539058,90179.64,376.87629,0.7485122,0.9779907,0.7914373,0.67167032,0.003351203,0.0013923803,0.5647231,0.99454353,CALI
13650.802,1206.23069,308.27695,318.1382,1.8244078,0.5977249,135151.11,389.39177,0.7524503,0.9872447,0.87927452,0.64019769,0.0062672358,0.0006153761,0.7005277,1.00566298,CALI
74328.9,946.78877,488.24543,280.6315,1.826796,0.7377581,135317.31,406.21477,0.6703322,0.9807612,0.81962039,0.68893193,0.0033320177,0.0013292007,0.7013289,0.99885133,CALI
65282.301,1149.50163,262.16927,218.27,1.3612781,0.9635782,133791.97,214.57829,0.7316482,0.990839,0.81847381,0.84932314,0.003272209,0.0013205621,0.409607,0.99293322,DERMASON
