dteday,holiday,weekday,workingday,season,yr,mnth,hr,temp,atemp,hum,windspeed,weathersit,cnt
3.6211929321,0.1355587393,3.3453536,0.73283315,1.1896305,0.00918799452,0.9935045,2.959647,0.22680271,0.00027683,0.51325691,0.23838173,1,51.50267426860986
4.5020985603,0.13730040193,2.5285583,0.89484066,1.3128024,0.16187818348,1.390244,3.42036,0.00268815,0.21007676,0.55656362,0.22679359,1,72.11304781894401
11.4341259003,0.19857171178,1.3350438,0.5868094,1.2656898,0.06872362643,1.7431977,1.980937,0.31484979,0.1222433,0.46788767,0.24236916,1,12.00620328852566
7.1404647827,0.20048376918,2.3293717,1.14624321,1.1937447,0.07743898034,3.3350384,1.591077,0.33622059,0.21053156,0.48885056,0.24350516,1,18.843472085843022
1.0847661495,0.207748577,2.92746,0.88854825,1.4392127,0.06079985574,2.3837302,2.972984,0.10525861,0.25822157,0.4224613,0.2343594,1,63.56870592651518
4.9288272858,0.01860697754,1.6827389,1.05459321,1.2752738,0.07991058379,2.0976262,1.578725,0.39722016,0.48625091,0.41052559,0.20500757,1,16.49692672757926
7.9240293503,0.0916344896,1.5867413,1.28932607,1.4676815,0.1822642982,2.7316418,1.949081,0.23318206,0.04989597,0.4231641,0.2358437,1,35.6700868150831
2.7357726097,0.01250302605,0.7315766,0.78374475,1.5875471,0.12529984117,4.9276152,1.940185,0.2679019,0.23113917,0.45195457,0.22661529,1,14.7892480650334
6.3742675781,0.03686730191,1.9617581,1.26260793,1.1628619,0.06656547636,1.7107714,1.257769,0.40856281,0.26634103,0.56840098,0.29367903,1,10.57472341237212
3.1314303875,0.13705126941,2.0538225,0.83831358,1.5289165,0.0513679944,0.5102723,3.076762,0.21496041,0.19605373,0.4742665,0.22395508,1,56.89847011066908
5.9137229919,0.09460510314,3.0218549,1.23215401,1.3255202,0.0468185693,2.0498528,1.2546,0.40382966,0.2162132,0.42683223,0.21441676,1,10.694939653860098
1.9262621403,0.1704711467,2.1678178,0.85855019,1.1019309,0.00347720459,2.7222824,2.78132,0.5060305,0.32919618,0.49396861,0.24057841,1,65.46241963301219
3.6619696617,0.02197595313,2.147351,0.75031829,1.0147671,0.08457154781,1.5452404,2.642193,0.28553227,0.25905985,0.32967177,0.23715787,1,37.42049892520608
2.3128225803,1.997266e-05,1.9452345,0.79763561,1.2902254,0.15023678541,4.248106,2.567465,0.47846642,0.15559535,0.48934609,0.30502883,1,39.02110822746949
3.639893055,0.27834972739,2.5340719,0.8152957,1.0369852,0.02981316112,3.0826409,1.941768,0.3393088,0.33207211,0.41078937,0.27993256,1,19.003879157520828
