fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,is_red,quality
6.6,0.26,0.6,15.4,0.053,32.0,141.0,0.9981,3.11,0.5,9.3,0.0,5.497046189225882
7.2,0.24,0.2,7.7,0.045,53.0,176.0,0.9958,3.17,0.4,9.5,0.0,5.379162111264797
7.1,0.26,0.2,8.2,0.051,53.0,187.0,0.996,3.16,0.5,9.7,0.0,5.279400921092001
4.9,0.34,0.1,1.3,0.036,69.0,168.0,0.9921,3.47,0.5,10.5,0.0,5.437898718427123
8.3,0.27,0.3,10.2,0.048,50.0,118.0,0.9972,3.18,0.5,10.3,0.0,5.828596796949002
6.8,0.39,0.3,14.4,0.043,28.0,162.0,0.9988,3.17,0.5,9.1,0.0,5.244552123844149
8.5,0.49,0.1,2.3,0.084,9.0,67.0,0.9968,3.17,0.5,9.4,1.0,5.120016392122326
7.8,0.25,0.4,1.0,0.043,10.0,80.0,0.9913,3.08,0.4,11.4,0.0,5.355596619134751
8.2,0.56,0.2,3.4,0.078,14.0,104.0,0.9976,3.28,0.6,9.4,1.0,5.1450008714413915
6.2,0.3,0.2,2.8,0.04,24.0,125.0,0.9939,3.01,0.5,9.0,0.0,5.123656800181316
11.3,0.37,0.4,2.3,0.088,6.0,16.0,0.9988,3.09,0.8,9.3,1.0,5.569095236775596
8.3,0.22,0.4,14.8,0.054,32.0,126.0,1.0002,3.22,0.5,9.7,0.0,5.73165760806087
7.5,0.58,0.0,4.1,0.08,27.0,46.0,0.9959,3.02,0.5,9.2,1.0,5.007421828948999
6.0,0.26,0.2,1.3,0.053,66.0,150.0,0.9924,3.21,0.6,10.4,0.0,5.890274962060059
7.5,0.69,0.1,2.5,0.058,5.0,9.0,0.9963,3.38,0.6,10.9,1.0,5.07519237403388
6.7,0.4,0.2,8.8,0.052,24.0,113.0,0.9958,3.22,0.4,9.4,0.0,5.18963384632895
6.5,0.22,0.2,17.1,0.05,44.0,138.0,1.0001,3.3,0.4,8.8,0.0,5.280217190093903
8.0,0.25,0.1,17.2,0.036,49.0,219.0,0.9996,2.96,0.5,9.7,0.0,5.482228285250377
7.3,0.32,0.5,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,0.0,5.205084304087615
6.9,0.32,0.2,1.4,0.051,15.0,96.0,0.994,3.22,0.4,9.5,0.0,5.051842194826521
7.3,0.32,0.2,2.3,0.066,35.0,70.0,0.9959,3.43,0.6,10.1,1.0,5.565578639912153
6.5,0.23,0.2,7.5,0.05,44.0,179.0,0.995,3.18,0.5,9.5,0.0,5.302853160800126
5.3,0.6,0.3,1.4,0.031,3.0,60.0,0.9885,3.27,0.4,13.0,0.0,5.85799719730072
5.8,0.4,0.4,4.4,0.047,38.5,245.0,0.9937,3.25,0.6,9.6,0.0,5.21206231825837
8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.998,3.29,0.6,9.5,1.0,5.0928944240126155
7.6,0.27,0.3,1.2,0.043,23.0,72.0,0.9924,3.06,0.7,10.5,0.0,5.51902724770575
7.0,0.61,0.3,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,10.6,0.0,5.1762441952928215
6.5,0.27,0.3,11.0,0.03,2.0,82.0,0.994,3.07,0.4,11.2,0.0,5.595959688555535
6.1,0.64,0.0,2.4,0.069,26.0,46.0,0.9936,3.47,0.4,11.0,1.0,5.066845259753482
4.9,0.34,0.1,1.3,0.036,69.0,168.0,0.9921,3.47,0.5,10.5,0.0,5.437898718427123
7.6,0.18,0.5,18.0,0.046,36.0,158.0,0.9996,3.06,0.4,9.2,0.0,5.7007404004337
6.0,0.32,0.3,7.3,0.174,46.0,159.0,0.9952,3.18,0.5,9.4,0.0,5.2318630930401095
6.2,0.25,0.5,11.6,0.048,62.0,210.0,0.9968,3.19,0.5,9.5,0.0,5.4599540974845855
8.0,0.43,0.4,12.4,0.168,29.0,190.0,0.9991,3.07,0.6,9.2,0.0,5.008783262223731
7.1,0.43,0.4,5.5,0.071,28.0,128.0,0.9973,3.42,0.7,10.5,1.0,5.1978146812318275
9.9,0.59,0.1,3.4,0.102,32.0,71.0,1.0001,3.31,0.7,9.8,1.0,5.299247655083826
6.0,0.64,0.1,1.9,0.066,9.0,17.0,0.995,3.52,0.8,10.6,1.0,5.635935248524123
7.4,0.31,0.7,10.7,0.039,51.0,147.0,0.9977,3.02,0.4,8.7,0.0,5.047826145020998
6.8,0.37,0.5,11.8,0.044,62.0,163.0,0.9976,3.19,0.4,8.8,0.0,5.145168036070924
10.8,0.32,0.4,1.6,0.063,16.0,37.0,0.9985,3.22,0.8,10.0,1.0,5.7663440584557435
7.1,0.43,0.4,5.5,0.07,29.0,129.0,0.9973,3.42,0.7,10.5,1.0,5.164834438021027
7.1,0.46,0.1,2.8,0.076,15.0,37.0,0.9962,3.36,0.5,10.7,1.0,5.342308147490107
6.6,0.56,0.2,10.0,0.037,38.0,157.0,0.9964,3.28,0.5,9.4,0.0,5.406724441924548
5.3,0.3,0.2,1.1,0.077,48.0,166.0,0.9944,3.3,0.5,8.7,0.0,5.005188630364863
6.3,0.26,0.2,5.2,0.046,11.0,133.0,0.992,2.97,0.7,11.0,0.0,5.581903859369592
6.9,0.2,0.3,1.9,0.043,25.0,136.0,0.9935,3.31,0.6,10.1,0.0,5.883741154472951
6.5,0.29,0.2,2.5,0.142,8.0,111.0,0.9927,3.0,0.4,9.9,0.0,5.105708622384094
6.8,0.18,0.2,5.4,0.053,34.0,104.0,0.9944,3.3,0.4,9.4,0.0,5.8165954202247265
7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.9969,3.44,0.5,9.4,1.0,5.141955837548077
9.3,0.34,0.5,7.3,0.052,30.0,146.0,0.998,3.17,0.6,10.2,0.0,5.27720115148303
6.1,0.3,0.5,1.4,0.049,50.0,187.0,0.9927,3.19,0.4,9.5,0.0,5.090413830855139
6.6,0.5,0.0,1.5,0.06,17.0,26.0,0.9952,3.4,0.6,9.8,1.0,5.386795925871716
6.4,0.23,0.3,10.3,0.042,54.0,140.0,0.9967,3.23,0.5,9.2,0.0,5.695837475633286
8.3,0.27,0.3,10.2,0.048,50.0,118.0,0.9972,3.18,0.5,10.3,1.0,5.972887697697422
6.7,0.26,0.3,4.1,0.073,36.0,202.0,0.9956,3.3,0.7,9.5,0.0,5.382355106715033
15.5,0.64,0.5,4.2,0.095,10.0,23.0,1.0031,2.92,0.7,11.1,1.0,5.911114294658473
8.1,0.2,0.3,1.3,0.036,7.0,49.0,0.9924,2.99,0.7,10.3,0.0,5.054036728432168
6.9,0.41,0.3,10.1,0.043,28.0,152.0,0.9968,3.2,0.5,9.4,0.0,5.364895963612142
6.7,0.24,0.3,13.1,0.05,64.0,205.0,0.997,3.15,0.5,9.5,0.0,5.4651475975368955
7.1,0.23,0.2,5.4,0.039,60.0,196.0,0.9948,3.19,0.8,10.0,0.0,5.417250407294612
6.4,0.39,0.2,1.2,0.041,35.0,136.0,0.9923,3.15,0.5,10.2,0.0,5.254146786757428
7.0,0.29,0.5,10.7,0.046,59.0,234.0,0.9966,3.05,0.6,9.5,0.0,5.409060633332439
7.0,0.24,0.3,6.7,0.039,37.0,125.0,0.9944,3.2,0.4,9.9,0.0,5.726241227021814
6.6,0.56,0.2,8.9,0.034,27.0,133.0,0.9967,3.2,0.5,9.1,0.0,5.180880023837016
6.8,0.3,0.2,6.6,0.123,35.0,116.0,0.9953,3.07,0.5,9.4,0.0,5.242068381515609
8.3,0.56,0.2,2.4,0.082,10.0,86.0,0.9983,3.37,0.6,9.5,1.0,5.165120205765073
8.0,0.52,0.0,1.7,0.07,10.0,35.0,0.9958,3.34,0.6,10.0,1.0,5.44426732651314
8.8,0.61,0.1,2.4,0.067,10.0,42.0,0.9969,3.19,0.6,9.5,1.0,5.204840600131983
7.4,0.27,0.3,11.8,0.053,55.0,173.0,0.997,3.11,0.6,9.8,0.0,5.510744692830246
8.0,0.5,0.4,2.6,0.082,12.0,46.0,0.9985,3.43,0.6,10.7,1.0,5.299126418986288
6.4,0.38,0.0,0.6,0.038,15.0,26.0,0.994,3.42,0.6,11.1,1.0,5.5293376074004845
7.3,0.26,0.2,1.7,0.05,10.0,112.0,0.9929,3.11,0.4,9.9,0.0,5.029978762835763
6.5,0.46,0.4,16.8,0.084,59.0,222.0,0.9993,3.18,0.6,9.0,0.0,5.030365192830728
6.8,0.36,0.3,1.6,0.039,10.0,124.0,0.9948,3.3,0.7,9.6,0.0,5.318754530720304
7.8,0.3,0.4,1.3,0.051,16.0,96.0,0.9941,3.32,0.6,10.0,1.0,5.349624386996565
7.1,0.69,0.0,2.1,0.068,19.0,27.0,0.9971,3.44,0.7,9.8,1.0,5.332978760549486
6.8,0.24,0.5,19.3,0.057,55.0,247.0,1.0006,3.0,0.6,8.7,0.0,5.356859427607538
6.7,0.27,0.1,1.3,0.041,62.0,138.0,0.9921,3.21,0.4,10.0,0.0,5.490251927327804
7.0,0.65,0.0,2.1,0.066,8.0,25.0,0.9972,3.47,0.7,9.5,1.0,5.203976897837497
6.6,0.26,0.6,15.4,0.053,32.0,141.0,0.9981,3.11,0.5,9.3,0.0,5.497046189225882
7.2,0.24,0.2,7.7,0.045,53.0,176.0,0.9958,3.17,0.4,9.5,0.0,5.379162111264797
7.1,0.26,0.2,8.2,0.051,53.0,187.0,0.996,3.16,0.5,9.7,0.0,5.279400921092001
4.9,0.34,0.1,1.3,0.036,69.0,168.0,0.9921,3.47,0.5,10.5,0.0,5.437898718427123
8.3,0.27,0.3,10.2,0.048,50.0,118.0,0.9972,3.18,0.5,10.3,0.0,5.828596796949002
6.8,0.39,0.3,14.4,0.043,28.0,162.0,0.9988,3.17,0.5,9.1,0.0,5.244552123844149
8.5,0.49,0.1,2.3,0.084,9.0,67.0,0.9968,3.17,0.5,9.4,1.0,5.120016392122326
7.8,0.25,0.4,1.0,0.043,10.0,80.0,0.9913,3.08,0.4,11.4,0.0,5.355596619134751
8.2,0.56,0.2,3.4,0.078,14.0,104.0,0.9976,3.28,0.6,9.4,1.0,5.1450008714413915
6.2,0.3,0.2,2.8,0.04,24.0,125.0,0.9939,3.01,0.5,9.0,0.0,5.123656800181316
11.3,0.37,0.4,2.3,0.088,6.0,16.0,0.9988,3.09,0.8,9.3,1.0,5.569095236775596
8.3,0.22,0.4,14.8,0.054,32.0,126.0,1.0002,3.22,0.5,9.7,0.0,5.73165760806087
7.5,0.58,0.0,4.1,0.08,27.0,46.0,0.9959,3.02,0.5,9.2,1.0,5.007421828948999
6.0,0.26,0.2,1.3,0.053,66.0,150.0,0.9924,3.21,0.6,10.4,0.0,5.890274962060059
7.5,0.69,0.1,2.5,0.058,5.0,9.0,0.9963,3.38,0.6,10.9,1.0,5.07519237403388
6.7,0.4,0.2,8.8,0.052,24.0,113.0,0.9958,3.22,0.4,9.4,0.0,5.18963384632895
6.5,0.22,0.2,17.1,0.05,44.0,138.0,1.0001,3.3,0.4,8.8,0.0,5.280217190093903
8.0,0.25,0.1,17.2,0.036,49.0,219.0,0.9996,2.96,0.5,9.7,0.0,5.482228285250377
7.3,0.32,0.5,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,0.0,5.205084304087615
6.9,0.32,0.2,1.4,0.051,15.0,96.0,0.994,3.22,0.4,9.5,0.0,5.051842194826521
7.3,0.32,0.2,2.3,0.066,35.0,70.0,0.9959,3.43,0.6,10.1,1.0,5.565578639912153
6.5,0.23,0.2,7.5,0.05,44.0,179.0,0.995,3.18,0.5,9.5,0.0,5.302853160800126
5.3,0.6,0.3,1.4,0.031,3.0,60.0,0.9885,3.27,0.4,13.0,0.0,5.85799719730072
5.8,0.4,0.4,4.4,0.047,38.5,245.0,0.9937,3.25,0.6,9.6,0.0,5.21206231825837
8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.998,3.29,0.6,9.5,1.0,5.0928944240126155
7.6,0.27,0.3,1.2,0.043,23.0,72.0,0.9924,3.06,0.7,10.5,0.0,5.51902724770575
7.0,0.61,0.3,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,10.6,0.0,5.1762441952928215
