dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16
1,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40
1,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32
1,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13
1,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
1,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
1,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
1,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3
1,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8
1,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14
1,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
1,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
1,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
1,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
1,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
1,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
1,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
1,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
1,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
1,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
1,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
1,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
1,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
1,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
2,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
2,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
2,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
2,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
2,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
2,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
2,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
2,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
2,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
2,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
2,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
2,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
2,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
2,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
2,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
2,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
2,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
2,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
2,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
2,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
2,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
2,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
2,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
3,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
3,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
3,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
3,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
3,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
3,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
3,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
3,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
3,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
3,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
3,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
3,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
3,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
3,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
3,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
3,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
3,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
3,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
3,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
3,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
3,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
3,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
4,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
4,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
4,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
4,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
4,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
4,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
4,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
4,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
4,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
4,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
4,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
4,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
4,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
4,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
4,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
4,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
4,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
4,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
4,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
4,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
4,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
4,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
4,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
5,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
5,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
5,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
5,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
5,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
5,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
5,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88
